Grapheme1	Grapheme2	IPA	Class	Status	Comments	Source	Doculect
ᵽ	NA	f	consonant	loan	NA	bradley1970a-linguistic	jica11
x	NA	ʃ	consonant	NA	NA	bradley1970a-linguistic	jica11
z	NA	θ	consonant	NA	NA	bradley1970a-linguistic	jica11
c	NA	k	consonant	NA	like Spanish	bradley1970a-linguistic	jica11
nd	NA	ⁿd	consonant	NA	like Spanish	bradley1970a-linguistic	jica11
ng	NA	ᵑg	consonant	NA	like Spanish	bradley1970a-linguistic	jica11
l	NA	l	consonant	NA	like Spanish	bradley1970a-linguistic	jica11
m	NA	m	consonant	NA	like Spanish	bradley1970a-linguistic	jica11
n	NA	n	consonant	NA	like Spanish	bradley1970a-linguistic	jica11
ñ	NA	ɲ	consonant	NA	like Spanish	bradley1970a-linguistic	jica11
p	NA	p	consonant	NA	like Spanish	bradley1970a-linguistic	jica11
qu	NA	k	consonant	NA	like Spanish	bradley1970a-linguistic	jica11
r	NA	ɾ	consonant	NA	like Spanish	bradley1970a-linguistic	jica11
s	NA	s	consonant	NA	like Spanish	bradley1970a-linguistic	jica11
t	NA	t	consonant	NA	like Spanish	bradley1970a-linguistic	jica11
v	NA	β	consonant	NA	like Spanish	bradley1970a-linguistic	jica11
y	NA	j	consonant	NA	like Spanish	bradley1970a-linguistic	jica11
cu	NA	kʷ	consonant	NA	before vowels	bradley1970a-linguistic	jica11
č	NA	tʃ	consonant	NA	NA	bradley1970a-linguistic	jica11
h	NA	x	consonant	loan	NA	bradley1970a-linguistic	jica11
ʔ	NA	ʔ	consonant	NA	analyzed as a vowel feature	bradley1970a-linguistic	jica11
w	NA	β	consonant	NA	w in unstressed syllables	bradley1970a-linguistic	jica11
à	NA	a¹	vowel and tone	NA	NA	bradley1970a-linguistic	jica11
à̢	NA	ã¹	vowel and tone	NA	NA	bradley1970a-linguistic	jica11
ā	NA	a³	vowel and tone	NA	NA	bradley1970a-linguistic	jica11
ā̢	NA	ã³	vowel and tone	NA	NA	bradley1970a-linguistic	jica11
á	NA	a⁵	vowel and tone	NA	NA	bradley1970a-linguistic	jica11
á̢	NA	ã⁵	vowel and tone	NA	NA	bradley1970a-linguistic	jica11
è	NA	e¹	vowel and tone	NA	NA	bradley1970a-linguistic	jica11
è̢	NA	ẽ¹	vowel and tone	NA	NA	bradley1970a-linguistic	jica11
ē	NA	e³	vowel and tone	NA	NA	bradley1970a-linguistic	jica11
ē̢	NA	ẽ³	vowel and tone	NA	NA	bradley1970a-linguistic	jica11
é	NA	e⁵	vowel and tone	NA	NA	bradley1970a-linguistic	jica11
é̢	NA	ẽ⁵	vowel and tone	NA	NA	bradley1970a-linguistic	jica11
ì	NA	i¹	vowel and tone	NA	NA	bradley1970a-linguistic	jica11
ì̢	NA	ĩ¹	vowel and tone	NA	NA	bradley1970a-linguistic	jica11
ī	NA	i³	vowel and tone	NA	NA	bradley1970a-linguistic	jica11
ī̢	NA	ĩ³	vowel and tone	NA	NA	bradley1970a-linguistic	jica11
í	NA	i⁵	vowel and tone	NA	NA	bradley1970a-linguistic	jica11
í̢	NA	ĩ⁵	vowel and tone	NA	NA	bradley1970a-linguistic	jica11
ò	NA	o¹	vowel and tone	NA	NA	bradley1970a-linguistic	jica11
ò̢	NA	õ¹	vowel and tone	NA	NA	bradley1970a-linguistic	jica11
ō	NA	o³	vowel and tone	NA	NA	bradley1970a-linguistic	jica11
ō̢	NA	õ³	vowel and tone	NA	NA	bradley1970a-linguistic	jica11
ó	NA	o⁵	vowel and tone	NA	NA	bradley1970a-linguistic	jica11
ó̢	NA	õ⁵	vowel and tone	NA	NA	bradley1970a-linguistic	jica11
ù	NA	u¹	vowel and tone	NA	NA	bradley1970a-linguistic	jica11
ù̢	NA	ũ¹	vowel and tone	NA	NA	bradley1970a-linguistic	jica11
ū	NA	u³	vowel and tone	NA	NA	bradley1970a-linguistic	jica11
ū̢	NA	ũ³	vowel and tone	NA	NA	bradley1970a-linguistic	jica11
ú	NA	u⁵	vowel and tone	NA	NA	bradley1970a-linguistic	jica11
ú̢	NA	ũ⁵	vowel and tone	NA	NA	bradley1970a-linguistic	jica11
