Grapheme1	Grapheme2	IPA	Class	Status	Comments	Source	Doculect
y	NA	j	consonant	NA	NA	overholt1961tonemic	metl11
x	NA	ʃ	consonant	NA	NA	overholt1961tonemic	metl11
z	NA	θ	consonant	NA	NA	overholt1961tonemic	metl11
c	NA	k	consonant	NA	like Spanish	overholt1961tonemic	metl11
nd	NA	ⁿd	consonant	NA	like Spanish	overholt1961tonemic	metl11
ng	NA	ᵑg	consonant	NA	like Spanish	overholt1961tonemic	metl11
l	NA	l	consonant	NA	like Spanish	overholt1961tonemic	metl11
m	NA	m	consonant	NA	like Spanish	overholt1961tonemic	metl11
n	NA	n	consonant	NA	like Spanish	overholt1961tonemic	metl11
ñ	NA	ɲ	consonant	NA	like Spanish	overholt1961tonemic	metl11
p	NA	p	consonant	NA	like Spanish	overholt1961tonemic	metl11
qu	NA	k	consonant	NA	like Spanish	overholt1961tonemic	metl11
r	NA	ɾ	consonant	NA	like Spanish	overholt1961tonemic	metl11
s	NA	s	consonant	NA	like Spanish	overholt1961tonemic	metl11
t	NA	t	consonant	NA	like Spanish	overholt1961tonemic	metl11
v	NA	β	consonant	NA	like Spanish	overholt1961tonemic	metl11
y	NA	j	consonant	NA	like Spanish	overholt1961tonemic	metl11
cu	NA	kʷ	consonant	NA	before vowels	overholt1961tonemic	metl11
ʔ	NA	ʔ	consonant	NA	NA	overholt1961tonemic	metl11
b	NA	β	consonant	NA	NA	overholt1961tonemic	metl11
à	NA	a¹	vowel and tone	NA	NA	overholt1961tonemic	metl11
àⁿ	NA	ã¹	vowel and tone	NA	NA	overholt1961tonemic	metl11
ā	NA	a³	vowel and tone	NA	NA	overholt1961tonemic	metl11
āⁿ	NA	ã³	vowel and tone	NA	NA	overholt1961tonemic	metl11
á	NA	a⁵	vowel and tone	NA	NA	overholt1961tonemic	metl11
áⁿ	NA	ã⁵	vowel and tone	NA	NA	overholt1961tonemic	metl11
è	NA	e¹	vowel and tone	NA	NA	overholt1961tonemic	metl11
èⁿ	NA	ẽ¹	vowel and tone	NA	NA	overholt1961tonemic	metl11
ē	NA	e³	vowel and tone	NA	NA	overholt1961tonemic	metl11
ēⁿ	NA	ẽ³	vowel and tone	NA	NA	overholt1961tonemic	metl11
é	NA	e⁵	vowel and tone	NA	NA	overholt1961tonemic	metl11
éⁿ	NA	ẽ⁵	vowel and tone	NA	NA	overholt1961tonemic	metl11
ì	NA	i¹	vowel and tone	NA	NA	overholt1961tonemic	metl11
ìⁿ	NA	ĩ¹	vowel and tone	NA	NA	overholt1961tonemic	metl11
ī	NA	i³	vowel and tone	NA	NA	overholt1961tonemic	metl11
īⁿ	NA	ĩ³	vowel and tone	NA	NA	overholt1961tonemic	metl11
í	NA	i⁵	vowel and tone	NA	NA	overholt1961tonemic	metl11
íⁿ	NA	ĩ⁵	vowel and tone	NA	NA	overholt1961tonemic	metl11
ò	NA	o¹	vowel and tone	NA	NA	overholt1961tonemic	metl11
ùⁿ	NA	õ¹	vowel and tone	NA	NA	overholt1961tonemic	metl11
ō	NA	o³	vowel and tone	NA	NA	overholt1961tonemic	metl11
ōⁿ	NA	õ³	vowel and tone	NA	NA	overholt1961tonemic	metl11
ó	NA	o⁵	vowel and tone	NA	NA	overholt1961tonemic	metl11
óⁿ	NA	õ⁵	vowel and tone	NA	NA	overholt1961tonemic	metl11
ù	NA	u¹	vowel and tone	NA	NA	overholt1961tonemic	metl11
òⁿ	NA	ũ¹	vowel and tone	NA	NA	overholt1961tonemic	metl11
ū	NA	u³	vowel and tone	NA	NA	overholt1961tonemic	metl11
ūⁿ	NA	ũ³	vowel and tone	NA	NA	overholt1961tonemic	metl11
ú	NA	u⁵	vowel and tone	NA	NA	overholt1961tonemic	metl11
úⁿ	NA	ũ⁵	vowel and tone	NA	NA	overholt1961tonemic	metl11
