Grapheme	IPA	Class	Status	Comments
y	j	consonant		
x	ʃ	consonant		
z	θ	consonant		
c	k	consonant		like Spanish
nd	ⁿd	consonant		like Spanish
ng	ᵑg	consonant		like Spanish
l	l	consonant		like Spanish
m	m	consonant		like Spanish
n	n	consonant		like Spanish
ñ	ɲ	consonant		like Spanish
p	p	consonant		like Spanish
qu	k	consonant		like Spanish
r	ɾ	consonant		like Spanish
s	s	consonant		like Spanish
t	t	consonant		like Spanish
v	β	consonant		like Spanish
y	j	consonant		like Spanish
cu	kʷ	consonant		before vowels
ʔ	ʔ	consonant		
b	β	consonant		
à	a1	vowel and tone		
àⁿ	ã1	vowel and tone		
ā	a3	vowel and tone		
āⁿ	ã3	vowel and tone		
á	a5	vowel and tone		
áⁿ	ã5	vowel and tone		
è	e1	vowel and tone		
èⁿ	ẽ1	vowel and tone		
ē	e3	vowel and tone		
ēⁿ	ẽ3	vowel and tone		
é	e5	vowel and tone		
éⁿ	ẽ5	vowel and tone		
ì	i1	vowel and tone		
ìⁿ	ĩ1	vowel and tone		
ī	i3	vowel and tone		
īⁿ	ĩ3	vowel and tone		
í	i5	vowel and tone		
íⁿ	ĩ5	vowel and tone		
ò	o1	vowel and tone		
ùⁿ	õ1	vowel and tone		
ō	o3	vowel and tone		
ōⁿ	õ3	vowel and tone		
ó	o5	vowel and tone		
óⁿ	õ5	vowel and tone		
ù	u1	vowel and tone		
òⁿ	ũ1	vowel and tone		
ū	u3	vowel and tone		
ūⁿ	ũ3	vowel and tone		
ú	u5	vowel and tone		
úⁿ	ũ5	vowel and tone		
