Grapheme	IPA	Class	Status	Comments	Source	Doculect																																																									
ʔ	ʔ	consonant			pike1978phonology	mixt11																																																									
z̢	ⁿd͡z	consonant		not sure, described as dental prenasalized affricate	pike1978phonology	mixt11																																																									
y	j	consonant			pike1978phonology	mixt11																																																									
v	β	consonant			pike1978phonology	mixt11																																																									
u̢	ũ	vowel			pike1978phonology	mixt11																																																									
u	u	vowel			pike1978phonology	mixt11																																																									
t	t	consonant			pike1978phonology	mixt11																																																									
š	ʂ	consonant			pike1978phonology	mixt11																																																									
s	s	consonant			pike1978phonology	mixt11																																																									
r	ɾ	consonant			pike1978phonology	mixt11																																																									
p	p	consonant	rare		pike1978phonology	mixt11																																																									
o̢	õ	vowel	rare		pike1978phonology	mixt11																																																									
o	o	vowel			pike1978phonology	mixt11																																																									
ñ	ɲ	consonant			pike1978phonology	mixt11																																																									
n	n	consonant			pike1978phonology	mixt11																																																									
m	m	consonant			pike1978phonology	mixt11																																																									
l	l	consonant			pike1978phonology	mixt11																																																									
kʷ	kʷ	consonant			pike1978phonology	mixt11																																																									
k	k	consonant			pike1978phonology	mixt11																																																									
ǰ	ⁿd͡ʒ	consonant			pike1978phonology	mixt11																																																									
i̢	ĩ	vowel			pike1978phonology	mixt11																																																									
i	i	vowel			pike1978phonology	mixt11																																																									
gʷ	ᵑgʷ	consonant	rare		pike1978phonology	mixt11																																																									
g	ᵑg	consonant			pike1978phonology	mixt11																																																									
e̢	ẽ	vowel			pike1978phonology	mixt11																																																									
e	e	vowel			pike1978phonology	mixt11																																																									
d	ⁿd	consonant			pike1978phonology	mixt11																																																									
ȼ	t͡s	consonant			pike1978phonology	mixt11																																																									
č	t͡ʃ	consonant			pike1978phonology	mixt11																																																									
b	ᵐb	consonant	rare		pike1978phonology	mixt11																																																									
a̢	ã	vowel			pike1978phonology	mixt11																																																									
a	a	vowel			pike1978phonology	mixt11																																																									
3	1	tone			pike1978phonology	mixt11																																																									
2	3	tone			pike1978phonology	mixt11																																																									
1	5	tone			pike1978phonology	mixt11																																																									
