Grapheme	IPA	Class	Status	Comments
y	j	consonant		
k	k	consonant		
kʷ	kʷ	consonant		
l	l	consonant		
m	m	consonant		
b	ᵐb	consonant	rare	
n	n	consonant		
d	ⁿd	consonant		
z̢	ⁿd͡z	consonant		not sure, described as dental prenasalized affricate
ǰ	ⁿd͡ʒ	consonant		
ñ	ɲ	consonant		
g	ᵑg	consonant		
gʷ	ᵑgʷ	consonant	rare	
p	p	consonant	rare	
r	ɾ	consonant		
s	s	consonant		
š	ʂ	consonant		
t	t	consonant		
č	t͡s	consonant		not entirely sure
ȼ	t͡ʃ	consonant		
ʔ	ʔ	consonant		
v	β	consonant		
3	1	tone		
2	3	tone		
1	5	tone		
a	a	vowel		
a̢	ã	vowel		
e	e	vowel		
e̢	ẽ	vowel		
i	i	vowel		
i̢	ĩ	vowel		
o	o	vowel		
o̢	õ	vowel	rare	
u	u	vowel		
u̢	ũ	vowel		
