Grapheme1	Grapheme2	IPA	Class	Status	Comments	Source	Doculect																																																									
d		ð	consonant	rare		alexander1988syntactic, mak1958tonal	ocot11																																																									
f		f	consonant	loan		alexander1988syntactic	ocot11																																																									
g		g	consonant	loan		alexander1988syntactic	ocot11																																																									
	y	j	consonant			mak1958tonal	ocot11																																																									
c		k	consonant			mak1958tonal	ocot11																																																									
k		k	consonant			alexander1988syntactic	ocot11																																																									
qu		k	consonant			mak1958tonal	ocot11																																																									
cu		kʷ	consonant		before vowels	mak1958tonal	ocot11																																																									
kw		kʷ	consonant			alexander1988syntactic	ocot11																																																									
l		l	consonant	rare		alexander1988syntactic, mak1958tonal	ocot11																																																									
m		m	consonant	rare		alexander1988syntactic, mak1958tonal	ocot11																																																									
mb		ᵐb	consonant	loan		alexander1988syntactic	ocot11																																																									
n		n	consonant			alexander1988syntactic, mak1958tonal	ocot11																																																									
nd		ⁿd	consonant		prenasalized stop	alexander1988syntactic, mak1958tonal	ocot11																																																									
nj		ⁿd͡ʒ	consonant	rare	prenasalized stop	alexander1988syntactic	ocot11																																																									
ñ		ɲ	consonant			alexander1988syntactic, mak1958tonal	ocot11																																																									
ng		ᵑg	consonant	rare	prenasalized stop	alexander1988syntactic, mak1958tonal	ocot11																																																									
p		p	consonant	rare		alexander1988syntactic, mak1958tonal	ocot11																																																									
rr		r	consonant	loan		alexander1988syntactic	ocot11																																																									
r		ɾ	consonant	loan		alexander1988syntactic, mak1958tonal	ocot11																																																									
s		s	consonant			alexander1988syntactic, mak1958tonal	ocot11																																																									
sh		ʃ	consonant			alexander1988syntactic	ocot11																																																									
	x	ʃ	consonant	rare		mak1958tonal	ocot11																																																									
t		t	consonant			alexander1988syntactic, mak1958tonal	ocot11																																																									
ch		t͡ʃ	consonant			alexander1988syntactic	ocot11																																																									
x		x	consonant			alexander1988syntactic	ocot11																																																									
y		ʒ	consonant			alexander1988syntactic	ocot11																																																									
ž		ʒ	consonant			mak1958tonal	ocot11																																																									
h		ʔ	consonant			alexander1988syntactic	ocot11																																																									
ʔ		ʔ	consonant			mak1958tonal	ocot11																																																									
b		β	consonant			mak1958tonal	ocot11																																																									
v		β	consonant			alexander1988syntactic, mak1958tonal	ocot11																																																									
z		θ	consonant			mak1958tonal	ocot11																																																									
3		1	tone			mak1958tonal	ocot11																																																									
2		3	tone			mak1958tonal	ocot11																																																									
1		5	tone			mak1958tonal	ocot11																																																									
a		a	vowel			mak1958tonal	ocot11																																																									
a̢		ã	vowel			mak1958tonal	ocot11																																																									
e		e	vowel			mak1958tonal	ocot11																																																									
e̢		ẽ	vowel			mak1958tonal	ocot11																																																									
i		i	vowel			mak1958tonal	ocot11																																																									
i̢		ĩ	vowel			mak1958tonal	ocot11																																																									
o		o	vowel			mak1958tonal	ocot11																																																									
o̢		õ	vowel			mak1958tonal	ocot11																																																									
u		u	vowel			mak1958tonal	ocot11																																																									
u̢		ũ	vowel			mak1958tonal	ocot11																																																									
a		a1	vowel and tone			alexander1988syntactic	ocot11																																																									
an		ã1	vowel and tone			alexander1988syntactic	ocot11																																																									
aan		ã1ã1	vowel and tone			alexander1988syntactic	ocot11																																																									
aān		ã1ã3	vowel and tone			alexander1988syntactic	ocot11																																																									
aán		ã1ã5	vowel and tone			alexander1988syntactic	ocot11																																																									
ā		a3	vowel and tone			alexander1988syntactic	ocot11																																																									
ān		ã3	vowel and tone			alexander1988syntactic	ocot11																																																									
āan		ã3ã1	vowel and tone			alexander1988syntactic	ocot11																																																									
āān		ã3ã3	vowel and tone			alexander1988syntactic	ocot11																																																									
āán		ã3ã5	vowel and tone			alexander1988syntactic	ocot11																																																									
á		a5	vowel and tone			alexander1988syntactic	ocot11																																																									
án		ã5	vowel and tone			alexander1988syntactic	ocot11																																																									
áan		ã5ã1	vowel and tone			alexander1988syntactic	ocot11																																																									
áān		ã5ã3	vowel and tone			alexander1988syntactic	ocot11																																																									
áán		ã5ã5	vowel and tone			alexander1988syntactic	ocot11																																																									
e		e1	vowel and tone			alexander1988syntactic	ocot11																																																									
en		ẽ1	vowel and tone			alexander1988syntactic	ocot11																																																									
een		ẽ1ẽ1	vowel and tone			alexander1988syntactic	ocot11																																																									
eēn		ẽ1ẽ3	vowel and tone			alexander1988syntactic	ocot11																																																									
eén		ẽ1ẽ5	vowel and tone			alexander1988syntactic	ocot11																																																									
ē		e3	vowel and tone			alexander1988syntactic	ocot11																																																									
ēn		ẽ3	vowel and tone			alexander1988syntactic	ocot11																																																									
ēen		ẽ3ẽ1	vowel and tone			alexander1988syntactic	ocot11																																																									
ēēn		ẽ3ẽ3	vowel and tone			alexander1988syntactic	ocot11																																																									
ēén		ẽ3ẽ5	vowel and tone			alexander1988syntactic	ocot11																																																									
é		e5	vowel and tone			alexander1988syntactic	ocot11																																																									
én		ẽ5	vowel and tone			alexander1988syntactic	ocot11																																																									
éen		ẽ5ẽ1	vowel and tone			alexander1988syntactic	ocot11																																																									
éēn		ẽ5ẽ3	vowel and tone			alexander1988syntactic	ocot11																																																									
één		ẽ5ẽ5	vowel and tone			alexander1988syntactic	ocot11																																																									
i		i1	vowel and tone			alexander1988syntactic	ocot11																																																									
in		ĩ1	vowel and tone			alexander1988syntactic	ocot11																																																									
iin		ĩ1ĩ1	vowel and tone			alexander1988syntactic	ocot11																																																									
iīn		ĩ1ĩ3	vowel and tone			alexander1988syntactic	ocot11																																																									
iín		ĩ1ĩ5	vowel and tone			alexander1988syntactic	ocot11																																																									
ī		i3	vowel and tone			alexander1988syntactic	ocot11																																																									
īn		ĩ3	vowel and tone			alexander1988syntactic	ocot11																																																									
īin		ĩ3ĩ1	vowel and tone			alexander1988syntactic	ocot11																																																									
īīn		ĩ3ĩ3	vowel and tone			alexander1988syntactic	ocot11																																																									
īín		ĩ3ĩ5	vowel and tone			alexander1988syntactic	ocot11																																																									
í		i5	vowel and tone			alexander1988syntactic	ocot11																																																									
ín		ĩ5	vowel and tone			alexander1988syntactic	ocot11																																																									
íin		ĩ5ĩ1	vowel and tone			alexander1988syntactic	ocot11																																																									
íīn		ĩ5ĩ3	vowel and tone			alexander1988syntactic	ocot11																																																									
íín		ĩ5ĩ5	vowel and tone			alexander1988syntactic	ocot11																																																									
o		o1	vowel and tone			alexander1988syntactic	ocot11																																																									
on		õ1	vowel and tone			alexander1988syntactic	ocot11																																																									
oon		õ1õ1	vowel and tone			alexander1988syntactic	ocot11																																																									
oōn		õ1õ3	vowel and tone			alexander1988syntactic	ocot11																																																									
oón		õ1õ5	vowel and tone			alexander1988syntactic	ocot11																																																									
ō		o3	vowel and tone			alexander1988syntactic	ocot11																																																									
ōn		õ3	vowel and tone			alexander1988syntactic	ocot11																																																									
ōon		õ3õ1	vowel and tone			alexander1988syntactic	ocot11																																																									
ōōn		õ3õ3	vowel and tone			alexander1988syntactic	ocot11																																																									
ōón		õ3õ5	vowel and tone			alexander1988syntactic	ocot11																																																									
ó		o5	vowel and tone			alexander1988syntactic	ocot11																																																									
ón		õ5	vowel and tone			alexander1988syntactic	ocot11																																																									
óon		õ5õ1	vowel and tone			alexander1988syntactic	ocot11																																																									
óōn		õ5õ3	vowel and tone			alexander1988syntactic	ocot11																																																									
óón		õ5õ5	vowel and tone			alexander1988syntactic	ocot11																																																									
u		u1	vowel and tone			alexander1988syntactic	ocot11																																																									
un		ũ1	vowel and tone			alexander1988syntactic	ocot11																																																									
uun		ũ1ũ1	vowel and tone			alexander1988syntactic	ocot11																																																									
uūn		ũ1ũ3	vowel and tone			alexander1988syntactic	ocot11																																																									
uún		ũ1ũ5	vowel and tone			alexander1988syntactic	ocot11																																																									
ū		u3	vowel and tone			alexander1988syntactic	ocot11																																																									
ūn		ũ3	vowel and tone			alexander1988syntactic	ocot11																																																									
ūun		ũ3ũ1	vowel and tone			alexander1988syntactic	ocot11																																																									
ūūn		ũ3ũ3	vowel and tone			alexander1988syntactic	ocot11																																																									
ūún		ũ3ũ5	vowel and tone			alexander1988syntactic	ocot11																																																									
ú		u5	vowel and tone			alexander1988syntactic	ocot11																																																									
ún		ũ5	vowel and tone			alexander1988syntactic	ocot11																																																									
úun		ũ5ũ1	vowel and tone			alexander1988syntactic	ocot11																																																									
úūn		ũ5ũ3	vowel and tone			alexander1988syntactic	ocot11																																																									
