Grapheme1	Grapheme2	IPA	Class	Status	Comments	Source	Doculect
d	NA	ð	consonant	rare	NA	alexander1988syntactic, mak1958tonal	ocot11
f	NA	f	consonant	loan	NA	alexander1988syntactic	ocot11
g	NA	g	consonant	loan	NA	alexander1988syntactic	ocot11
NA	y	j	consonant	NA	NA	mak1958tonal	ocot11
c	NA	k	consonant	NA	NA	mak1958tonal	ocot11
k	NA	k	consonant	NA	NA	alexander1988syntactic	ocot11
qu	NA	k	consonant	NA	NA	mak1958tonal	ocot11
cu	NA	kʷ	consonant	NA	before vowels	mak1958tonal	ocot11
kw	NA	kʷ	consonant	NA	NA	alexander1988syntactic	ocot11
l	NA	l	consonant	rare	NA	alexander1988syntactic, mak1958tonal	ocot11
m	NA	m	consonant	rare	NA	alexander1988syntactic, mak1958tonal	ocot11
mb	NA	ᵐb	consonant	loan	NA	alexander1988syntactic	ocot11
n	NA	n	consonant	NA	NA	alexander1988syntactic, mak1958tonal	ocot11
nd	NA	ⁿd	consonant	NA	prenasalized stop	alexander1988syntactic, mak1958tonal	ocot11
nj	NA	ⁿdʒ	consonant	rare	prenasalized stop	alexander1988syntactic	ocot11
ñ	NA	ɲ	consonant	NA	NA	alexander1988syntactic, mak1958tonal	ocot11
ng	NA	ᵑg	consonant	rare	prenasalized stop	alexander1988syntactic, mak1958tonal	ocot11
p	NA	p	consonant	rare	NA	alexander1988syntactic, mak1958tonal	ocot11
rr	NA	r	consonant	loan	NA	alexander1988syntactic	ocot11
r	NA	ɾ	consonant	loan	NA	alexander1988syntactic, mak1958tonal	ocot11
s	NA	s	consonant	NA	NA	alexander1988syntactic, mak1958tonal	ocot11
sh	NA	ʃ	consonant	NA	NA	alexander1988syntactic	ocot11
NA	x	ʃ	consonant	rare	NA	mak1958tonal	ocot11
t	NA	t	consonant	NA	NA	alexander1988syntactic, mak1958tonal	ocot11
ch	NA	tʃ	consonant	NA	NA	alexander1988syntactic	ocot11
x	NA	x	consonant	NA	NA	alexander1988syntactic	ocot11
y	NA	ʒ	consonant	NA	NA	alexander1988syntactic	ocot11
ž	NA	ʒ	consonant	NA	NA	mak1958tonal	ocot11
h	NA	ʔ	consonant	NA	NA	alexander1988syntactic	ocot11
ʔ	NA	ʔ	consonant	NA	NA	mak1958tonal	ocot11
b	NA	β	consonant	NA	NA	mak1958tonal	ocot11
v	NA	β	consonant	NA	NA	alexander1988syntactic, mak1958tonal	ocot11
z	NA	θ	consonant	NA	NA	mak1958tonal	ocot11
3	NA	¹	tone	NA	NA	mak1958tonal	ocot11
2	NA	³	tone	NA	NA	mak1958tonal	ocot11
1	NA	⁵	tone	NA	NA	mak1958tonal	ocot11
a	NA	a	vowel	NA	NA	mak1958tonal	ocot11
a̢	NA	ã	vowel	NA	NA	mak1958tonal	ocot11
e	NA	e	vowel	NA	NA	mak1958tonal	ocot11
e̢	NA	ẽ	vowel	NA	NA	mak1958tonal	ocot11
i	NA	i	vowel	NA	NA	mak1958tonal	ocot11
i̢	NA	ĩ	vowel	NA	NA	mak1958tonal	ocot11
o	NA	o	vowel	NA	NA	mak1958tonal	ocot11
o̢	NA	õ	vowel	NA	NA	mak1958tonal	ocot11
u	NA	u	vowel	NA	NA	mak1958tonal	ocot11
u̢	NA	ũ	vowel	NA	NA	mak1958tonal	ocot11
a	NA	a¹	vowel and tone	NA	NA	alexander1988syntactic	ocot11
an	NA	ã¹	vowel and tone	NA	NA	alexander1988syntactic	ocot11
