Doculect	Grapheme	IPA	Class	Status	Comments
ocot11	d	ð	consonant		
ocot11	x	ʃ	consonant	rare	
ocot11	z	θ	consonant		
ocot11	c	k	consonant		
ocot11	nd	ⁿd	consonant		
ocot11	ng	ᵑg	consonant		
ocot11	l	l	consonant		
ocot11	m	m	consonant		
ocot11	n	n	consonant		
ocot11	ñ	ɲ	consonant		
ocot11	p	p	consonant		
ocot11	qu	k	consonant		
ocot11	r	ɾ	consonant		
ocot11	s	s	consonant	rare	
ocot11	t	t	consonant		
ocot11	v	β	consonant		
ocot11	y	j	consonant		
ocot11	cu	kʷ	consonant		before vowels
ocot11	z	z	consonant	rare	new phoneme that arose from back formation
ocot11	ž	ʒ	consonant		
ocot11	ʔ	ʔ	consonant		
ocot11	b	β	consonant		
ocot11	3	1	tone		
ocot11	2	3	tone		
ocot11	1	5	tone		
ocot11	a	a	vowel		
ocot11	a̢	ã	vowel		
ocot11	e	e	vowel		
ocot11	e̢	ẽ	vowel		
ocot11	i	i	vowel		
ocot11	i̢	ĩ	vowel		
ocot11	o	o	vowel		
ocot11	o̢	õ	vowel		
ocot11	u	u	vowel		
ocot11	u̢	ũ	vowel		
