Grapheme	IPA	Class	Status	Comments
d	ð	consonant		
f	f	consonant	loan	
k	k	consonant		
kw	kʷ	consonant		
l	l	consonant		
m	m	consonant		
mb	ᵐb	consonant		
n	n	consonant		
nd	ⁿd	consonant		
nǰ	ⁿd͡ʒ	consonant		best guess
ñ	ɲ	consonant		
ng	ᵑg	consonant		
p	p	consonant		
r̃	r	consonant		not sure, best guess
ř	ɾ	consonant		not sure, best guess
s	s	consonant		
š	ʃ	consonant		
t	t	consonant		
č	t͡ʃ	consonant		
h	x	consonant		not sure, best guess
ž	ʒ	consonant		
ʔ	ʔ	consonant		
b	β	consonant		
à	a1	vowel and tone		
à̢	ã1	vowel and tone		
àà̢	ã1ã1	vowel and tone		
àa̢	ã1ã3	vowel and tone		
àă̢	ã1ã35	vowel and tone		
àá̢	ã1ã5	vowel and tone		
a	a3	vowel and tone		
a̢	ã3	vowel and tone		
ă	a35	vowel and tone		
ă̢	ã35	vowel and tone		
ăà̢	ã35ã1	vowel and tone		
ăa̢	ã35ã3	vowel and tone		
ăă̢	ã35ã35	vowel and tone		
ăá̢	ã35ã5	vowel and tone		
aà̢	ã3̃a1	vowel and tone		
aa̢	ã3̃a3	vowel and tone		
aă̢	ã3̃a35	vowel and tone		
aá̢	ã3̃a5	vowel and tone		
á	a5	vowel and tone		
á̢	ã5	vowel and tone		
áà̢	ã5ã1	vowel and tone		
áa̢	ã5ã3	vowel and tone		
áă̢	ã5ã35	vowel and tone		
áá̢	ã5ã5	vowel and tone		
è	e1	vowel and tone		
è̢	ẽ1	vowel and tone		
èè̢	ẽ1ẽ1	vowel and tone		
èe̢	ẽ1ẽ3	vowel and tone		
èĕ̢	ẽ1ẽ35	vowel and tone		
èé̢	ẽ1ẽ5	vowel and tone		
e	e3	vowel and tone		
e̢	ẽ3	vowel and tone		
ĕ	e35	vowel and tone		
ĕ̢	ẽ35	vowel and tone		
ĕè̢	ẽ35ẽ1	vowel and tone		
ĕe̢	ẽ35ẽ3	vowel and tone		
ĕĕ̢	ẽ35ẽ35	vowel and tone		
ĕé̢	ẽ35ẽ5	vowel and tone		
eè̢	ẽ3̃ẽ1	vowel and tone		
ee̢	ẽ3̃ẽ3	vowel and tone		
eĕ̢	ẽ3̃ẽ35	vowel and tone		
eé̢	ẽ3̃ẽ5	vowel and tone		
é	e5	vowel and tone		
é̢	ẽ5	vowel and tone		
éè̢	ẽ5ẽ1	vowel and tone		
ée̢	ẽ5ẽ3	vowel and tone		
éĕ̢	ẽ5ẽ35	vowel and tone		
éé̢	ẽ5ẽ5	vowel and tone		
ì	i1	vowel and tone		
ì̢	ĩ1	vowel and tone		
ìì̢	ĩ1ĩ1	vowel and tone		
