Doculect	Grapheme	IPA	Class	Status	Comments
prog12	d	ð	consonant		
prog12	g	g	consonant	loan	
prog12	k	k	consonant		
prog12	kw	kʷ	consonant		
prog12	l	l	consonant		
prog12	m	m	consonant		
prog12	mb	ᵐb	consonant		
prog12	n	n	consonant		
prog12	nd	ⁿd	consonant		
prog12	nj	ⁿd͡ʒ	consonant		
prog12	ñ	ɲ	consonant		
prog12	ng	ᵑg	consonant		
prog12	p	p	consonant	loan	
prog12	r	ɾ	consonant		
prog12	s	s	consonant		
prog12	sh	ʃ	consonant		
prog12	t	t	consonant		
prog12	ch	t͡ʃ	consonant		
prog12	x	x	consonant		
prog12	y	ʒ	consonant		
prog12	h	ʔ	consonant		
prog12	v	β	consonant		
prog12	a	a1	vowel and tone		
prog12	an	ã1	vowel and tone		
prog12	aan	ã1ã1	vowel and tone		
prog12	aān	ã1ã3	vowel and tone		
prog12	aán	ã1ã5	vowel and tone		
prog12	ā	a3	vowel and tone		
prog12	ān	ã3	vowel and tone		
prog12	āan	ã3ã1	vowel and tone		
prog12	āān	ã3ã3	vowel and tone		
prog12	āán	ã3ã5	vowel and tone		
prog12	á	a5	vowel and tone		
prog12	án	ã5	vowel and tone		
prog12	áan	ã5ã1	vowel and tone		
prog12	áān	ã5ã3	vowel and tone		
prog12	áán	ã5ã5	vowel and tone		
prog12	e	e1	vowel and tone		
prog12	en	ẽ1	vowel and tone		
prog12	een	ẽ1ẽ1	vowel and tone		
prog12	eēn	ẽ1ẽ3	vowel and tone		
prog12	eén	ẽ1ẽ5	vowel and tone		
prog12	ē	e3	vowel and tone		
prog12	ēn	ẽ3	vowel and tone		
prog12	ēen	ẽ3ẽ1	vowel and tone		
prog12	ēēn	ẽ3ẽ3	vowel and tone		
prog12	ēén	ẽ3ẽ5	vowel and tone		
prog12	é	e5	vowel and tone		
prog12	én	ẽ5	vowel and tone		
prog12	éen	ẽ5ẽ1	vowel and tone		
prog12	éēn	ẽ5ẽ3	vowel and tone		
prog12	één	ẽ5ẽ5	vowel and tone		
prog12	i	i1	vowel and tone		
prog12	in	ĩ1	vowel and tone		
prog12	iin	ĩ1ĩ1	vowel and tone		
prog12	iīn	ĩ1ĩ3	vowel and tone		
prog12	iín	ĩ1ĩ5	vowel and tone		
prog12	ī	i3	vowel and tone		
prog12	īn	ĩ3	vowel and tone		
prog12	īin	ĩ3ĩ1	vowel and tone		
prog12	īīn	ĩ3ĩ3	vowel and tone		
prog12	īín	ĩ3ĩ5	vowel and tone		
prog12	í	i5	vowel and tone		
prog12	ín	ĩ5	vowel and tone		
prog12	íin	ĩ5ĩ1	vowel and tone		
prog12	íīn	ĩ5ĩ3	vowel and tone		
prog12	íín	ĩ5ĩ5	vowel and tone		
prog12	o	o1	vowel and tone		
prog12	on	õ1	vowel and tone		
prog12	oon	õ1õ1	vowel and tone		
prog12	oōn	õ1õ3	vowel and tone		
prog12	oón	õ1õ5	vowel and tone		
prog12	ō	o3	vowel and tone		
prog12	ōn	õ3	vowel and tone		
prog12	ōon	õ3õ1	vowel and tone		
prog12	ōōn	õ3õ3	vowel and tone		
prog12	ōón	õ3õ5	vowel and tone		
prog12	ó	o5	vowel and tone		
prog12	ón	õ5	vowel and tone		
prog12	óon	õ5õ1	vowel and tone		
prog12	óōn	õ5õ3	vowel and tone		
prog12	óón	õ5õ5	vowel and tone		
prog12	u	u1	vowel and tone		
prog12	un	ũ1	vowel and tone		
prog12	uun	ũ1ũ1	vowel and tone		
prog12	uūn	ũ1ũ3	vowel and tone		
prog12	uún	ũ1ũ5	vowel and tone		
prog12	ū	u3	vowel and tone		
prog12	ūn	ũ3	vowel and tone		
prog12	ūun	ũ3ũ1	vowel and tone		
prog12	ūūn	ũ3ũ3	vowel and tone		
prog12	ūún	ũ3ũ5	vowel and tone		
prog12	ú	u5	vowel and tone		
prog12	ún	ũ5	vowel and tone		
prog12	úun	ũ5ũ1	vowel and tone		
prog12	úūn	ũ5ũ3	vowel and tone		
prog12	úún	ũ5ũ5	vowel and tone		
