Doculect	Grapheme	IPA	Class	Status	Comments																																																											
	ⁿz	ⁿd͡ʒ	consonant																																																													
	ȼ	t͡s	consonant																																																													
	đ	ð	consonant																																																													
	dʸ	dʲ	consonant																																																													
	ǰ	d͡ʒ	consonant																																																													
	h	h	consonant																																																													
	y	j	consonant																																																													
	k	k	consonant																																																													
	kʸ	kʲ	consonant																																																													
	kʷ	kʷ	consonant																																																													
	l	l	consonant																																																													
	m	m	consonant																																																													
	n	n	consonant																																																													
	N	n̥	consonant																																																													
	ⁿd	ⁿd	consonant																																																													
	ⁿǰ	ⁿd͡ʒ	consonant																																																													
	ñ	ɲ	consonant																																																													
	s	s	consonant																																																													
	š	ʃ	consonant																																																													
	t	t	consonant																																																													
	tʸ	tʲ	consonant																																																													
	č	t͡ʃ	consonant																																																													
	w	w	consonant																																																													
	x	x	consonant																																																													
	ž	ʒ	consonant																																																													
	ʔ	ʔ	consonant																																																													
	ƀ	β	consonant																																																													
	θ	θ	consonant																																																													
	-	+	separator																																																													
	’	'	stress																																																													
	a	a	vowel																																																													
	i	i	vowel																																																													
	à	a1	vowel and tone																																																													
	à̧	ã1	vowel and tone																																																													
	ǎ	a15	vowel and tone																																																													
	ā	a3	vowel and tone																																																													
	ā̧	ã3	vowel and tone																																																													
	á	a5	vowel and tone																																																													
	á̧	ã5	vowel and tone																																																													
	â	a51	vowel and tone																																																													
	â̧	ã51	vowel and tone																																																													
	è	e1	vowel and tone																																																													
	ȩ̀	ẽ1	vowel and tone																																																													
	ȩ̌	ẽ15	vowel and tone																																																													
	ē	e3	vowel and tone																																																													
	ȩ̄	ẽ3	vowel and tone																																																													
	é	e5	vowel and tone																																																													
	ê	e51	vowel and tone																																																													
	ě	e51	vowel and tone																																																													
	ì	i1	vowel and tone																																																													
	ì̧	ĩ1	vowel and tone																																																													
	ǐ	i15	vowel and tone																																																													
	ǐ̧	ĩ15	vowel and tone																																																													
	ī	i3	vowel and tone																																																													
	ī̧	ĩ3	vowel and tone																																																													
	í	i5	vowel and tone																																																													
	í̧	ĩ5	vowel and tone																																																													
	î	i51	vowel and tone																																																													
	î̧	ĩ51	vowel and tone																																																													
	i᷅	i53	vowel and tone																																																													
	ɨ̀	ɨ1	vowel and tone																																																													
	ɨ̧̀	ɨ̃1	vowel and tone																																																													
	ɨ̧̌	ɨ̃15	vowel and tone																																																													
	ɨ̄	ɨ3	vowel and tone																																																													
	ɨ̧̄	ɨ̃3	vowel and tone																																																													
	ɨ́	ɨ5	vowel and tone																																																													
	ɨ̧́	ɨ̃5	vowel and tone																																																													
	ò	o1	vowel and tone																																																													
	ò̧	õ1	vowel and tone																																																													
	ǒ	o15	vowel and tone																																																													
	ō	o3	vowel and tone																																																													
	ō̧	õ3	vowel and tone																																																													
	ó	o5	vowel and tone																																																													
	ó̧	õ5	vowel and tone																																																													
	ù	u1	vowel and tone																																																													
	ù̧	ũ1	vowel and tone																																																													
	ǔ	u15	vowel and tone																																																													
	ǔ̧	ũ15	vowel and tone																																																													
	ū	u3	vowel and tone																																																													
	ū̧	ũ3	vowel and tone																																																													
	ú	u5	vowel and tone																																																													
	ú̧	ũ5	vowel and tone																																																													
	ǜ	ʉ1	vowel and tone																																																													
	ǖ	ʉ3	vowel and tone																																																													
	ǘ	ʉ5	vowel and tone																																																													
																																																																
																																																																
																																																																
