Doculect	Grapheme	IPA	Class	Status	Comments
yoso11	d	ð	consonant		
yoso11	Nn	ʰn	consonant		
yoso11	Ññ	ʰɲ	consonant		
yoso11	y	j	consonant		described as voiced fricative
yoso11	k	k	consonant		
yoso11	kw	kʷ	consonant		before vowels
yoso11	l	l	consonant		
yoso11	m	m	consonant		
yoso11	mb	ᵐb	consonant		
yoso11	n	n	consonant		
yoso11	nd	ⁿd	consonant		
yoso11	nj	ⁿ͡dʒ	consonant		
yoso11	ñ	ɲ	consonant		
yoso11	ng	ᵑg	consonant		
yoso11	p	p	consonant		
yoso11	r	ɾ	consonant		
yoso11	s	s	consonant		
yoso11	sy	sʲ	consonant		
yoso11	sh	ʃ	consonant		
yoso11	shy	ʃʲ	consonant		
yoso11	t	t	consonant		
yoso11	ch	t͡ʃ	consonant		
yoso11	w	w	consonant		
yoso11	h	ʔ	consonant		
yoso11	v	β	consonant		
yoso11	a	a1	vowel and tone		
yoso11	an	ã1	vowel and tone		
yoso11	aan	ã1ã1	vowel and tone		
yoso11	aān	ã1ã3	vowel and tone		
yoso11	aán	ã1ã5	vowel and tone		
yoso11	ā	a3	vowel and tone		
yoso11	ān	ã3	vowel and tone		
yoso11	āan	ã3ã1	vowel and tone		
yoso11	āān	ã3ã3	vowel and tone		
yoso11	āán	ã3ã5	vowel and tone		
yoso11	á	a5	vowel and tone		
yoso11	án	ã5	vowel and tone		
yoso11	áan	ã5ã1	vowel and tone		
yoso11	áān	ã5ã3	vowel and tone		
yoso11	áán	ã5ã5	vowel and tone		
yoso11	e	e1	vowel and tone		
yoso11	en	ẽ1	vowel and tone		
yoso11	een	ẽ1ẽ1	vowel and tone		
yoso11	eēn	ẽ1ẽ3	vowel and tone		
yoso11	eén	ẽ1ẽ5	vowel and tone		
yoso11	ē	e3	vowel and tone		
yoso11	ēn	ẽ3	vowel and tone		
yoso11	ēen	ẽ3ẽ1	vowel and tone		
yoso11	ēēn	ẽ3ẽ3	vowel and tone		
yoso11	ēén	ẽ3ẽ5	vowel and tone		
yoso11	é	e5	vowel and tone		
yoso11	én	ẽ5	vowel and tone		
yoso11	éen	ẽ5ẽ1	vowel and tone		
yoso11	éēn	ẽ5ẽ3	vowel and tone		
yoso11	één	ẽ5ẽ5	vowel and tone		
yoso11	i	i1	vowel and tone		
yoso11	in	ĩ1	vowel and tone		
yoso11	iin	ĩ1ĩ1	vowel and tone		
yoso11	iīn	ĩ1ĩ3	vowel and tone		
yoso11	iín	ĩ1ĩ5	vowel and tone		
yoso11	ī	i3	vowel and tone		
yoso11	īn	ĩ3	vowel and tone		
yoso11	īin	ĩ3ĩ1	vowel and tone		
yoso11	īīn	ĩ3ĩ3	vowel and tone		
yoso11	īín	ĩ3ĩ5	vowel and tone		
yoso11	í	i5	vowel and tone		
yoso11	ín	ĩ5	vowel and tone		
yoso11	íin	ĩ5ĩ1	vowel and tone		
yoso11	íīn	ĩ5ĩ3	vowel and tone		
yoso11	íín	ĩ5ĩ5	vowel and tone		
yoso11	ɨ	ɨ1	vowel and tone		
yoso11	ɨn	ɨ̃1	vowel and tone		
yoso11	ɨɨn	ɨ̃1ɨ̃1	vowel and tone		
yoso11	ɨɨ̄n	ɨ̃1ɨ̃3	vowel and tone		
yoso11	ɨɨ́n	ɨ̃1ɨ̃5	vowel and tone		
yoso11	ɨ̄	ɨ3	vowel and tone		
yoso11	ɨ̄n	ɨ̃3	vowel and tone		
yoso11	ɨ̄ɨn	ɨ̃3ɨ̃1	vowel and tone		
yoso11	ɨ̄ɨ̄n	ɨ̃3ɨ̃3	vowel and tone		
yoso11	ɨ̄ɨ́n	ɨ̃3ɨ̃5	vowel and tone		
yoso11	ɨ́	ɨ5	vowel and tone		
yoso11	ɨ́n	ɨ̃5	vowel and tone		
yoso11	ɨ́ɨn	ɨ̃5ɨ̃1	vowel and tone		
yoso11	ɨ́ɨ̄n	ɨ̃5ɨ̃3	vowel and tone		
yoso11	ɨ́ɨ́n	ɨ̃5ɨ̃5	vowel and tone		
yoso11	o	o1	vowel and tone		
yoso11	on	õ1	vowel and tone		
yoso11	oon	õ1õ1	vowel and tone		
yoso11	oōn	õ1õ3	vowel and tone		
yoso11	oón	õ1õ5	vowel and tone		
yoso11	ō	o3	vowel and tone		
yoso11	ōn	õ3	vowel and tone		
yoso11	ōon	õ3õ1	vowel and tone		
yoso11	ōōn	õ3õ3	vowel and tone		
yoso11	ōón	õ3õ5	vowel and tone		
yoso11	ó	o5	vowel and tone		
yoso11	ón	õ5	vowel and tone		
yoso11	óon	õ5õ1	vowel and tone		
yoso11	óōn	õ5õ3	vowel and tone		
yoso11	óón	õ5õ5	vowel and tone		
yoso11	u	u1	vowel and tone		
yoso11	un	ũ1	vowel and tone		
yoso11	uun	ũ1ũ1	vowel and tone		
yoso11	uūn	ũ1ũ3	vowel and tone		
yoso11	uún	ũ1ũ5	vowel and tone		
yoso11	ū	u3	vowel and tone		
yoso11	ūn	ũ3	vowel and tone		
yoso11	ūun	ũ3ũ1	vowel and tone		
yoso11	ūūn	ũ3ũ3	vowel and tone		
yoso11	ūún	ũ3ũ5	vowel and tone		
yoso11	ú	u5	vowel and tone		
yoso11	ún	ũ5	vowel and tone		
yoso11	úun	ũ5ũ1	vowel and tone		
yoso11	úūn	ũ5ũ3	vowel and tone		
yoso11	úún	ũ5ũ5	vowel and tone		
