Grapheme	IPA	Frequency
^a	a	1
³	³	24
m	m	11
a	a	61
³$	³	18
^a̧	ã	1
a̧$	ã	12
^b	β	3
e	e	13
¹	¹	24
i	i	69
ʃ	ʃ	6
ĩ	ĩ	4
ʧ	tʃ	5
^č	tʃ	4
č	tʃ	5
i$	i	22
i̧	ĩ	8
i̧$	ĩ	21
ñ	ɲ	9
o̧$	õ	1
ī̧	ĩ ³	1
u$	u	13
^i	i	27
c	k	2
k	k	13
u	u	36
¹$	¹	8
ɲ	ɲ	6
ʔ	ʔ	49
b	β	5
⁴$	⁵	22
²$	²	20
t	t	25
ũ	ũ	5
⁴	⁵	11
^ì̧	ĩ ¹	1
í̧$	ĩ ⁵	1
^i̧	ĩ	4
u̧$	ũ	21
š	ʃ	13
-	+	13
o	o	12
o$	o	10
šʰ	ʃ	1
a$	a	22
s	s	8
w	β	12
n	n	18
^j	j	10
⁴¹	⁵¹	3
j	j	2
^k	k	18
²	²	7
o̧	õ	3
u̧	ũ	12
^kʷ	kʷ	13
ã	ã	4
a̧	ã	9
e$	e	6
y	j	6
^l	l	2
kʷ	kʷ	5
^m	m	2
^ⁿd	ⁿd	21
^n	n	6
ì̧	ĩ ¹	1
ī̧$	ĩ ³	1
^ñ	ɲ	8
^ɲ	ɲ	3
^s	s	10
^š	ʃ	11
^ʃ	ʃ	7
^t	t	19
ⁿd	ⁿd	2
è	e ¹	1
è$	e ¹	1
^ʧ	tʃ	2
^u	u	5
^u̧	ũ	3
^w	β	9
l	l	1
^y	j	9
