Grapheme	IPA	Frequency
^a̧	ã	1
m	m	9
a̧$	ã	14
^č	tʃ	6
i	i	39
-	+	14
k	k	16
i̧	ĩ	18
ñ	ɲ	12
u̧$	ũ	4
č	tʃ	10
i$	i	24
i̧$	ĩ	18
ī̧	ĩ ³	1
ī̧$	ĩ ³	2
o̧$	õ	18
ī	i ³	15
ō$	o ³	6
^í̧í̧$	ĩ ⁵ ĩ ⁵	1
^ì̧	ĩ ¹	1
ì̧$	ĩ ¹	3
^k	k	19
à	a ¹	2
à$	a ¹	3
a	a	28
ì$	i ¹	3
ā	a ³	14
ā$	a ³	11
ʔ	ʔ	51
n	n	23
a$	a	22
s	s	12
t	t	23
ī$	i ³	13
w	β	19
ì	i ¹	3
o	o	8
o̧	õ	10
o$	o	7
o̠	o ¹	2
u̧	ũ	2
ū	u ³	1
ù	u ¹	1
ū̧$	ũ ³	1
^kʷ	kʷ	13
á̧	ã ⁵	1
á̧$	ã ⁵	1
a̧	ã	9
í$	i ⁵	3
á	a ⁵	3
á$	a ⁵	4
e	e	6
e$	e	6
í	i ⁵	1
y	j	12
^l	l	3
kʷ	kʷ	5
ō	o ³	1
^m	m	2
^ⁿd	ⁿd	19
š	ʃ	11
ò	o ¹	5
ò$	o ¹	4
u	u	13
u$	u	10
ǜ	ʉ ¹	5
ǜ$	ʉ ¹	4
^n	n	7
ì̧	ĩ ¹	2
ò̧	õ ¹	2
ò̧$	õ ¹	1
ō̧$	õ ³	4
^ñ	ɲ	15
ó̧	õ ⁵	1
^o̧	õ	3
^o	o	1
^ō	o ³	1
^ō̧	õ ³	1
^s	s	17
^š	ʃ	13
^t	t	12
^tn	tⁿ	7
ǖ	ʉ ³	3
ǖ$	ʉ ³	2
ⁿd	ⁿd	1
ō̧	õ ³	2
ó̧$	õ ⁵	1
^tʸ	tʲ	1
^u	u	2
^w	β	11
ē	e ³	1
ē$	e ³	1
^y	j	35
