Grapheme	IPA	Frequency
^a	*a/a	1
m	m	22
a$	*a/a	47
^a̧	ã	1
a̧$	ã	10
^ā	a ³	1
ā$	a ³	18
^ƀ	β	10
à	a ¹	9
ʔ	ʔ	37
e	*e/e	12
e$	*e/e	11
ē	e ³	4
ē$	e ³	4
i	*i/i	88
s	s	28
i$	*i/i	50
š	ʃ	10
ì	i ¹	13
ī$	i ³	15
t	t	61
i̧$	ĩ	18
ī	i ³	22
ī̧$	ĩ ³	1
n	n	52
^ch	tʃ	7
é	e ⁵	4
i̠	i ¹	25
ch	tʃ	16
íi̠n$	ĩ ⁵ ĩ ¹	1
k	k	38
v	β	26
a̠$	a ¹	21
ñ	ɲ	25
o$	*o/o	31
í	i ⁵	15
ō$	o ³	10
^č	tʃ	7
ì$	i ¹	11
í̧	ĩ ⁵	2
ì̧$	ĩ ¹	2
i̧	ĩ	5
o̧$	õ	15
ō̧$	õ ³	3
u̧$	ũ	3
^đ	ð	1
u	*u/u	34
č	tʃ	5
ù$	u ¹	6
^i̠	i ¹	2
i̠n$	ĩ ¹	5
^i	*i/i	2
^ī	i ³	3
ā̧$	ã ³	1
^i̧	ĩ	1
o̠$	o ¹	16
í$	i ⁵	20
^ì	i ¹	1
w	β	5
^k	k	62
á	a ⁵	34
'	ʔ	47
a	*a/a	50
a̠	a ¹	21
ā	a ³	21
h	ʔ	30
i̠$	i ¹	20
x	ʃ	14
á$	a ⁵	20
ƀ	β	11
o̠	o ¹	18
o	*o/o	29
ōn	õ ³	5
ò̧	õ ¹	7
u$	*u/u	16
ò	o ¹	5
ò$	o ¹	6
u̠$	u ¹	7
án$	ã ⁵	3
l	l	6
y	j	22
e̠	e ³	1
e̠$	e ¹ 	1
é$	e ⁵	2
ù	u ¹	4
ù̧	ũ ¹	2
^kʷ	kʷ	9
á̧	ã ⁵	1
á̧$	ã ⁵	2
a̧	ã	6
^kw	kʷ	10
à$	a ¹	7
^l	l	7
on$	*on/õ	6
$	NULL	4
ō	o ³	5
^m	m	6
ín$	ĩ ⁵	2
sh	ʃ	8
ón$	õ ⁵	3
ó$	o ⁵	4
ì̧	ĩ ¹	5
í̧$	ĩ ⁵	3
^n	n	44
an	ã 	3
d	d	28
-	+	21
^ⁿd	ⁿd	12
kuá	kʷ a ⁵	1
ū	u ³	12
ú$	u ⁵	3
ú	u ⁵	5
u̠	u ¹	5
n$	n	5
^ⁿdʸ	ⁿdʲ	1
o̠n$	õ ¹	5
o̧	*o̧/õ	6
^ñ	ɲ	34
à̧$	ã ¹	2
ù̧$	ũ ¹	1
ō̧	õ ³	1
ò̧$	õ ¹	3
^o̠	o ³	4
^o	*o/o	5
^o̧	õ	3
^s	s	44
an$	*an/ã	3
^š	ʃ	9
ān$	ã ³	1
^sh	ʃ	6
un$	*un/ũ	2
ó	o ⁵	5
ún$	ũ ⁵	2
^t	t	49
kui̠	kʷ i ¹	1
kw	kʷ	1
kʷ	kʷ	1
^tia̠	tʲ a ¹	1
iín$	ĩ ³ ĩ ⁵	1
i̠ín$	ĩ ¹ ĩ ⁵	1
īn$	ĩ ³	2
in$	ĩ	7
^tn	tⁿ	2
nd	ⁿd	2
ó̧$	õ ⁵	1
ū$	u ³	4
^u̧	ũ	2
^u	*u/u	5
^u̠	u ¹	3
^v	β	18
^w	β	1
^x	ʃ	11
^y	j	81
^ỹ	j̃	2
