Grapheme	IPA	Frequency
^s	s	17
ā	a ³	14
ʔ	ʔ	51
y	*y/ʒ	12
ā$	a ³	11
e	*e/e	6
e$	*e/e	6
^ñ	ɲ	15
n	n	23
ī$	*ī/i ³	13
a̧	*a̧/ã	9
i̧$	*i̧/ĩ	18
ī	i ³	15
s	s	12
t	t	23
ō$	o ³	6
^t	t	12
a	*a/a	28
a$	*a/a	22
à$	a ¹	3
š	ʃ	11
i	*i/i	39
-	+	14
ñ	ɲ	12
a̧$	*a̧/ã	14
u	*u/u	13
u$	*u/u	10
^n	n	7
ì̧	ĩ ¹	2
ì̧$	ĩ ¹	3
^y	*y/j	35
k	k	16
ò̧	õ ¹	2
ò̧$	õ ¹	1
á	a ⁵	3
á$	a ⁵	4
ō̧$	õ ³	4
o̧	*o̧/õ	10
o̧$	*o̧/õ	18
ǖ	ʉ ³	3
ǖ$	ʉ ³	2
ò	o ¹	5
o	*o/o	8
o$	*o/o	7
^š	ʃ	13
u̧$	*u̧/ũ	4
^ⁿd	ⁿd	19
^č	tʃ	6
ī̧	ĩ ³	1
ī̧$	*ī̧/ĩ ³	2
i̧	*i̧/ĩ	18
i$	*i/i	24
^kʷ	kʷ	13
^l	l	3
kʷ	kʷ	5
ǜ	ʉ ¹	5
ó̧	õ ⁵	1
^w	*w/β	11
ē	e ³	1
ē$	e ³	1
č	tʃ	10
w	*w/β	19
í$	i ⁵	3
^k	k	19
^tʸ	tʲ	1
m	m	9
^tn	tⁿ	7
^m	m	2
ǜ$	ʉ ¹	4
ì$	i ¹	3
ò$	o ¹	4
ⁿd	ⁿd	1
ù	u ¹	1
ū̧$	ũ ³	1
ì	i ¹	3
o̠	*o̠/o ¹	2
à	a ¹	2
í	i ⁵	1
á̧	ã ⁵	1
á̧$	ã ⁵	1
ō̧	õ ³	2
ó̧$	õ ⁵	1
^í̧í̧$	ĩ ⁵ ĩ ⁵	1
^ō	o ³	1
^o	*o/o	1
^o̧	*o̧/õ	3
ū	u ³	1
u̧	*u̧/ũ	2
^ō̧	õ ³	1
^u	*u/u	2
^ì̧	ĩ ¹	1
ō	o ³	1
^a̧	*a̧/ã	1
