Grapheme	IPA	Frequency
^n	n	38
<á>	?<á>	32
a$	*a/a	51
^t	t	55
^s	s	28
e	*e/e	27
ʔ	ʔ	110
e$	*e/e	9
¹	*¹/¹	15
²$	*²/³	35
-	+	22
ž	ʒ	20
<í>	?<í>	33
$	NULL	154
s	s	15
ɨ	*ɨ/ɨ	69
<́>	?<́>	41
^kʷ	kʷ	28
<à>	?<à>	34
^ñ	ɲ	20
a̧	*a̧/ã	10
n	n	44
i̧$	*i̧/ĩ	14
^ɲ	ɲ	4
a	*a/a	86
²	*²/³	40
i	*i/i	59
¹$	*¹/¹	24
i$	*i/i	26
^k	k	40
<ú>	?<ú>	17
u$	*u/u	40
^š	ʃ	11
<ì>	?<ì>	11
t	t	25
o	*o/o	26
<ò>	?<ò>	14
^č	tʃ	9
ã	*ã/ã	18
^x	*x/ʃ	22
o$	*o/o	16
u	*u/u	71
<ù>	?<ù>	16
ɨ̧	*ɨ̧/ɨ̃	3
ñ	ɲ	24
ɲ	ɲ	6
<̀>	?<̀>	21
^ž	ʒ	43
k	k	48
ɨ$	*ɨ/ɨ	11
^i	*i/i	20
ʃ	ʃ	2
š	ʃ	13
^j	*j/h	16
³	*³/⁴	14
u̧	*u̧/ũ	14
u̧$	*u̧/ũ	20
ũ	*ũ/ũ	36
<d>	?<d>	20
i̧	*i̧/ĩ	10
ĩ	*ĩ/ĩ	25
<ṍ>	?<ṍ>	1
<ṹ>	?<ṹ>	9
<è>	?<è>	4
^ⁿd	ⁿd	19
^l	l	8
kʷ	kʷ	4
ṣ̌	ʂ	5
<é>	?<é>	8
m	m	19
x	*x/ʃ	13
l	l	6
o̧	*o̧/õ	1
^θ	θ	2
^ƀ	β	8
^b	*b/β	14
ʧ	tʃ	5
č	tʃ	21
ɨ̧$	*ɨ̧/ɨ̃	2
ƀ	β	2
<b>	?<b>	2
^ṣ̌	ʂ	2
a̧$	*a̧/ã	12
<̃>	?<̃>	10
^	NULL	13
<r>	?<r>	1
<ó>	?<ó>	4
³$	*³/⁴	9
y	*y/ʒ	2
^ʃ	ʃ	2
an	ã 	4
^m	m	3
y$	*y/j	1
<ā>	?<ā>	1
j	*j/h	1
^f	f	1
r̃	rː	1
^u	*u/u	13
^u̧	*u̧/ũ	3
^i̧	*i̧/ĩ	1
^a	*a/a	1
=	+	1
