Grapheme	IPA	Frequency
^đ	ð	9
e	*e/e	9
ʔ	ʔ	33
e$	*e/e	8
^i	*i/i	4
a$	*a/a	23
^ñ	ɲ	9
a̧	*a̧/ã	8
n	n	18
i̧$	*i̧/ĩ	19
^t	t	7
i	*i/i	35
-	+	19
i$	*i/i	21
^š	ʃ	1
t	t	16
o	*o/o	9
o$	*o/o	9
u	*u/u	17
u$	*u/u	12
^n	n	6
ì̧	ĩ ¹	1
ì̧$	ĩ ¹	2
u̧	*u̧/ũ	18
u̧$	*u̧/ũ	19
^y	*y/j	13
ú	u ⁵	1
kᵑ$	kⁿ	2
^č	tʃ	3
č	tʃ	6
i̧	*i̧/ĩ	10
^ṣ̌	ʂ	6
ȼ	ts	2
a	*a/a	23
^kʷ	kʷ	7
š	ʃ	4
ñ	ɲ	5
ṣ̌	ʂ	3
^ⁿd	ⁿd	9
kʷ	kʷ	3
đ	ð	15
^ⁿǰ	ⁿdʒ	4
^k	k	11
^w	*w/β	6
w	*w/β	15
y	*y/ʒ	8
^ȼ	ts	4
m	m	8
a̧$	*a̧/ã	12
^s	s	1
r	*r/ɾ	1
d	d	1
^m	m	2
^ⁿs	ⁿs	3
k	k	8
^tn	tⁿ	4
^ƀ	β	1
š̩	ʂ	1
ó	o ⁵	1
ó$	o ⁵	1
^ì̧	ĩ ¹	1
ȩ	*ȩ/ẽ	1
ⁿd	ⁿd	1
^š̩	ʂ	1
^i̧	*i̧/ĩ	5
^u	*u/u	4
^u̧	*u̧/ũ	3
^ù	u ¹	1
ì$	i ¹	1
^p	p	1
^a	*a/a	2
š̭	ɕ	1
^a̧	*a̧/ã	1
