Grapheme	IPA	Frequency
^s	s	8
è	e ¹	2
ʔ	ʔ	31
e$	*e/e	6
^ñ	ɲ	7
a̧	*a̧/ã	6
n	n	13
i̧$	*i̧/ĩ	7
^tʸ	tʲ	3
à	a ¹	8
a$	*a/a	15
^m	m	1
a̧$	*a̧/ã	10
ù	u ¹	7
t	t	13
ù$	u ¹	1
^n	n	5
ì̧	ĩ ¹	3
í̧$	ĩ ⁵	9
ù̧	ũ ¹	6
ú̧$	ũ ⁵	7
^y	*y/j	13
u	*u/u	10
u$	*u/u	9
ò	o ¹	2
ó$	o ⁵	6
^š	ʃ	12
ì	i ¹	10
k	k	9
^č	tʃ	4
i̧	*i̧/ĩ	8
i	*i/i	25
i$	*i/i	13
á$	a ⁵	2
^kʷ	kʷ	9
e	*e/e	5
ñ	ɲ	8
u̧$	*u̧/ũ	9
^ⁿd	ⁿd	14
ī$	*ī/i ³	1
ā	a ³	3
kʷ	kʷ	5
à$	a ¹	3
š	ʃ	11
à̧$	ã ¹	1
a	*a/a	14
u̧	*u̧/ũ	8
^v	β	2
ƀ	β	5
í$	i ⁵	7
y	*y/ʒ	6
^k	k	11
o	*o/o	2
ǒ$	o ¹⁵	1
o̧	*o̧/õ	1
ⁿd	ⁿd	2
o$	*o/o	2
^l	l	2
^t	t	10
s	s	6
-	+	9
m	m	7
í̧	ĩ ⁵	1
^ʔ	ʔ	14
í	i ⁵	2
ū$	u ³	1
ū̧	ũ ³	2
ō	o ³	3
ī	i ³	1
č	tʃ	7
^ī	i ³	1
^ƀ	β	5
ú̧	ũ ⁵	1
ū̧$	ũ ³	3
̀	¹	1
^i	*i/i	1
tʸ	tʲ	1
ū	u ³	2
ú$	u ⁵	2
ò$	o ¹	1
ì̧$	ĩ ¹	2
á̧$	ã ⁵	1
^ⁿdʸ	ⁿdʲ	1
á	a ⁵	2
á̧	ã ⁵	1
v	β	6
ì$	i ¹	2
^ù̧	ũ ¹	1
ī̧$	*ī̧/ĩ ³	2
ù̧$	ũ ¹	1
^ž	ʒ	1
ē$	e ³	1
