Grapheme	IPA	Frequency
^s	s	9
è	e ¹	1
ʔ	ʔ	31
e$	*e/e	5
^ñ	ɲ	9
a̧	*a̧/ã	8
n	n	13
i̧$	*i̧/ĩ	18
^t	t	10
a	*a/a	24
a$	*a/a	21
^š	ʃ	15
t	t	19
o	*o/o	9
o$	*o/o	10
u	*u/u	15
u$	*u/u	8
^n	n	4
ī̧	ĩ ³	1
ì̧$	ĩ ¹	2
o̧	*o̧/õ	8
o̧$	*o̧/õ	13
^y	*y/j	17
i	*i/i	33
k	k	11
u̧$	*u̧/ũ	10
^č	tʃ	4
i̧	*i̧/ĩ	16
i$	*i/i	26
^kʷ	kʷ	8
e	*e/e	4
ñ	ɲ	8
^ⁿd	ⁿd	14
^l	l	2
kʷ	kʷ	3
š	ʃ	9
a̧$	*a̧/ã	11
^w	*w/β	6
w	*w/β	13
y	*y/ʒ	7
^k	k	12
-	+	11
s	s	7
m	m	8
^tʸ	tʲ	1
u̧	*u̧/ũ	5
^m	m	2
^i	*i/i	3
č	tʃ	6
ì̧	ĩ ¹	1
ò	o ¹	1
ò$	o ¹	1
ᵑg	ⁿg	1
ⁿd	ⁿd	1
o̠	*o̠/o ¹	2
^i̧	*i̧/ĩ	2
á	a ⁵	1
á$	a ⁵	1
^o	*o/o	1
^u̧	*u̧/ũ	1
^o̧	*o̧/õ	2
^u	*u/u	2
^ƀ	β	1
^a̧	*a̧/ã	1
