Grapheme	IPA	Frequency
^đ	ð	6
e	*e/e	8
e$	*e/e	5
^ñ	ɲ	8
a̧	*a̧/ã	4
n	n	7
i̧$	*i̧/ĩ	10
^tʸ	tʲ	1
a	*a/a	18
a$	*a/a	15
^n	n	2
i̧	*i̧/ĩ	5
^t	t	5
u	*u/u	10
t	t	10
u$	*u/u	9
i	*i/i	23
č	tʃ	3
i$	*i/i	23
k	k	7
^č	tʃ	4
š	ʃ	4
^s	s	5
ʔ	ʔ	7
^kʷ	kʷ	4
^ⁿt	ⁿt	1
^ⁿd	ⁿd	7
kʷ	kʷ	4
s	s	4
u̧	*u̧/ũ	11
u̧$	*u̧/ũ	11
^ƀ	β	4
^ž	ʒ	7
^š	ʃ	3
o$	*o/o	5
^b	*b/β	1
an	ã 	2
^k	k	9
l	l	1
^l	l	1
ƀ	β	5
-	+	7
^a	*a/a	1
r	*r/ɾ	1
d	d	1
y	*y/ʒ	1
^ⁿs	ⁿs	2
m	m	5
o	*o/o	3
^y	*y/j	2
w	*w/β	2
^i	*i/i	3
a̧$	*a̧/ã	6
^i̧	*i̧/ĩ	2
ñ	ɲ	4
x	*x/ʃ	1
o̧ⁿ$	õ	1
đ	ð	2
^u	*u/u	3
^u̧	*u̧/ũ	3
^a̧	*a̧/ã	1
