Grapheme	IPA	Frequency
^h	*h/ʔ	5
a	*a/a	20
ʔ	ʔ	35
ž	ʒ	10
i$	*i/i	23
^č	tʃ	9
a$	*a/a	18
^s	s	9
t	t	10
o	*o/o	7
o$	*o/o	11
^x	*x/ʃ	1
ù	u ¹	2
ù$	u ¹	1
^n	n	3
ì̧	ĩ ¹	2
ì̧$	ĩ ¹	3
u̧	*u̧/ũ	11
u̧$	*u̧/ũ	13
^ž	ʒ	18
u	*u/u	14
u$	*u/u	8
^š	ʃ	4
ì	i ¹	7
ì$	i ¹	3
i	*i/i	29
k	k	9
i̧	*i̧/ĩ	10
i̧$	*i̧/ĩ	11
à	a ¹	6
à$	a ¹	6
^kʷ	kʷ	7
è	e ¹	2
è$	e ¹	1
^k	k	13
-	+	13
kʷ	kʷ	4
ñ	ɲ	5
^ⁿč	ⁿtʃ	2
^ⁿd	ⁿd	11
ā	a ³	2
s	s	8
č	tʃ	9
^ñ	ɲ	11
^v	β	3
e	*e/e	4
e$	*e/e	4
ƀ	β	5
ō$	o ³	1
ī	i ³	2
^l	l	2
ó	o ⁵	2
á$	a ⁵	2
v	β	7
a̧$	*a̧/ã	6
^t	t	6
h	*h/ʔ	6
í̧	ĩ ⁵	1
m	m	7
à̧$	ã ¹	1
^ʔ	ʔ	13
a̧	*a̧/ã	8
n	n	13
ò$	o ¹	2
ò̧	õ ¹	2
ī̧$	*ī̧/ĩ ³	1
ü	*ü/ʉ	1
ò	o ¹	1
ⁿč	ⁿtʃ	1
^ƀ	β	3
ⁿdʸ	ⁿdʲ	1
á	a ⁵	1
ī$	*ī/i ³	1
í	i ⁵	1
í$	i ⁵	1
tʸ	tʲ	1
o̧	*o̧/õ	1
^ⁿdʸ	ⁿdʲ	1
á̧	ã ⁵	1
á̧$	ã ⁵	1
ī̧	ĩ ³	1
ù̧$	ũ ¹	1
š	ʃ	2
ⁿd	ⁿd	1
ā$	a ³	1
ē$	e ³	1
ȼ	ts	1
