Grapheme	IPA	Frequency
^s	s	9
e	*e/e	6
ʔ	ʔ	19
e$	*e/e	5
i	*i/i	22
i$	*i/i	26
^ñ	ɲ	5
a̧	*a̧/ã	3
-	+	6
č	tʃ	10
a	*a/a	17
a$	*a/a	18
^n	n	2
i̧	*i̧/ĩ	4
i̧$	*i̧/ĩ	8
o	*o/o	6
o$	*o/o	6
^š	ʃ	1
u	*u/u	13
k	k	6
u$	*u/u	9
^č	tʃ	7
^t	t	5
^kʷ	kʷ	5
^ⁿd	ⁿd	12
ʔ$	ʔ	1
ā	a ³	1
kʷ	kʷ	2
ȼ	ts	4
u̧	*u̧/ũ	10
u̧$	*u̧/ũ	10
^ƀ	β	5
^y	*y/j	13
ƀ	β	7
t	t	5
^k	k	7
ⁿd	ⁿd	2
^i	*i/i	2
s	s	2
^a	*a/a	1
r	*r/ɾ	1
d	d	1
y	*y/ʒ	1
l	l	2
m	m	4
n	n	5
^i̧	*i̧/ĩ	2
š	ʃ	2
ñ	ɲ	3
^ȼ	ts	1
ì	i ¹	1
a̧$	*a̧/ã	4
x	*x/ʃ	1
^ⁿč	ⁿtʃ	2
^u	*u/u	3
^u̧	*u̧/ũ	3
^l	l	2
