Grapheme	IPA	Frequency
^n	n	33
á	a ⁵	16
à$	a ¹	33
^s	s	15
i	*i/i	43
'	ʔ	63
i$	*i/i	30
^t	t	21
^y	*y/j	30
u	*u/u	46
v	β	13
a$	*a/a	23
à	a ¹	12
y	*y/ʒ	14
-	+	17
ì	i ¹	20
s	s	9
í	i ⁵	18
í$	i ⁵	8
^k	k	36
ù	u ¹	14
^ñ	ɲ	15
an	ã 	2
ì$	i ¹	25
ù$	u ¹	17
^x	*x/ʃ	10
x	*x/ʃ	9
t	t	28
ò$	o ¹	13
è	e ¹	7
e$	*e/e	7
a	*a/a	38
^i	*i/i	15
o	*o/o	13
^j	*j/h	15
ñ	ɲ	15
k	k	34
u$	*u/u	16
ò	o ¹	1
o$	*o/o	8
n	n	22
n$	n	5
d	d	23
^tn	tⁿ	6
^ch	tʃ	6
e	*e/e	6
è$	e ¹	4
á$	a ⁵	11
kua	*kua/kʷ a	3
$	NULL	1
é$	e ⁵	3
m	m	10
j	*j/h	8
àn$	ã ¹	2
^l	l	10
ó	o ⁵	2
ìn$	ĩ ¹	5
^v	β	9
ch	tʃ	10
é	e ⁵	5
ó$	o ⁵	2
^m	m	2
l	l	5
ú$	u ⁵	8
in$	ĩ	4
an$	*an/ã	2
en$	ẽ	1
nd	ⁿd	2
ú	u ⁵	4
ǒ$	o ¹⁵	1
án$	ã ⁵	1
ín$	ĩ ⁵	2
^u	*u/u	9
uùn$	ũ ³ ũ ¹	1
ùun$	ũ ³ ũ ¹	1
^o	*o/o	1
w	*w/β	2
^a	*a/a	2
un$	*un/ũ	1
