Grapheme	IPA	Frequency
^t	t	9
á	a ⁵	10
j	*j/h	42
t	t	28
ě$	e ¹⁵	1
^s	s	9
è	e ¹	5
'	ʔ	51
e$	*e/e	5
^k	k	31
ò	o ¹	8
v	β	13
a$	*a/a	16
^ñ	ɲ	6
a	*a/a	24
ñ	ɲ	14
î$	i ⁵¹	3
u	*u/u	22
ù$	u ¹	7
^x	*x/ʃ	24
i	*i/i	31
x	*x/ʃ	20
i$	*i/i	12
o$	*o/o	8
^tsià	tsʲ a ¹	2
ì	i ¹	32
o	*o/o	12
ô$	o ⁵¹	1
^n	n	30
ǐ$	i ¹⁵	20
^ì	i ¹	7
k	k	27
in$	ĩ	7
^i	*i/i	11
ù	u ¹	12
ǔ$	u ¹⁵	7
^y	*y/j	22
ǎ$	a ¹⁵	13
u$	*u/u	8
ts	ts	17
ǐn$	ĩ ¹⁵	7
ǔn$	ũ ¹⁵	2
^ch	tʃ	7
í	i ⁵	4
à	a ¹	14
ch	tʃ	13
ìn$	ĩ ¹	3
î	i ⁵¹	1
n$	n	4
è$	e ¹	3
ǎn$	ã ¹⁵	3
kuà	kʷ a ¹	1
$	NULL	1
^l	l	5
ǎ	a ¹⁵	3
^tsiǎ	tsʲ a ¹⁵	1
à$	a ¹	15
û$	u ⁵¹	5
^v	β	8
e	*e/e	3
^tsiá	tsʲ a ⁵	1
y	*y/ʒ	8
á$	a ⁵	2
ǒ$	o ¹⁵	12
^ts	ts	11
-	+	9
s	s	8
m	m	7
é$	e ⁵	2
â$	a ⁵¹	5
ìín$	ĩ ¹ ĩ ⁵	1
^u	*u/u	2
kuá	kʷ a ⁵	2
é	e ⁵	4
l	l	2
ó$	o ⁵	2
^m	m	2
ǒ	o ¹⁵	2
n	n	13
ú	u ⁵	3
í$	i ⁵	5
ì$	i ¹	11
an	ã 	4
^tsiò	tsʲ o ¹	2
ǔ	u ¹⁵	3
^í	i ⁵	2
't	*'t/ʔ t	1
^kiá	kʲ a ⁵	1
ân$	ã ⁵¹	1
nts	ⁿts	1
ùún$	ũ ¹ ũ ⁵	1
àn$	ã ¹	1
ǐ	i ¹⁵	2
ú$	u ⁵	2
nt	ⁿd	1
an$	*an/ã	2
^ò	o ¹	5
^ù	u ¹	3
ò$	o ¹	1
^a	*a/a	1
^à	a ¹	1
un$	*un/ũ	2
ún$	ũ ⁵	1
uun$	*uun/ũ ũ	1
