Grapheme	IPA	Frequency
^a	*a/a	3
s	s	12
i̧	*i̧/ĩ	16
ʔ$	ʔ	91
ɨ̧	*ɨ̧/ɨ̃	6
w	*w/β	38
a̧$	*a̧/ã	2
^á	a ⁵	1
ã́$	ã ⁵	1
^ᴮ	¹	5
-	+	29
k	k	21
á	a ⁵	11
à$	a ¹	4
ó	o ⁵	5
j	*j/h	15
õ̀$	õ ¹	5
é	e ⁵	7
ʔ	ʔ	57
ẽ̀$	ẽ ⁵	2
t	t	37
ĩ̀$	ĩ ¹	1
x	*x/ʃ	17
n	n	16
ì$	i ¹	4
^ì	i ¹	1
^í	i ⁵	6
ṍ	õ ⁵	1
^i	*i/i	5
u$	*u/u	13
ú	u ⁵	9
í$	i ⁵	3
í	i ⁵	9
è$	e ¹	4
y	*y/ʒ	35
o̧$	*o̧/õ	6
i	*i/i	40
^j	*j/h	17
ĩ$	ĩ	1
ĩ́$	ĩ ⁵	3
ĩ́	ĩ ⁵	1
ò	o ¹	5
ù	u ¹	6
ù$	u ¹	2
é$	e ⁵	2
ṹ	ũ ⁵	1
ũ̀̀$	ũ ¹	2
^k	k	16
a	*a/a	25
à	a ¹	6
ì	i ¹	11
u	*u/u	38
i$	*i/i	17
ɨ	*ɨ/ɨ	40
ɨ$	*ɨ/ɨ	4
ɨ̀	ɨ ¹	5
ɨ́$	ɨ ⁵	3
ɨ́	ɨ ⁵	3
o	*o/o	18
a$	*a/a	8
^kʷ	kʷ	11
e	*e/e	21
è	e ¹	2
e$	*e/e	12
u̧	*u̧/ũ	5
i̧$	*i̧/ĩ	8
ɨ̧$	*ɨ̧/ɨ̃	2
^l	l	8
kʷ	kʷ	8
l	l	6
o$	*o/o	8
ȩ	*ȩ/ẽ	9
^ⁿd	ⁿd	20
=	+	1
²	*²/³	2
ṍ$	õ ⁵	3
ẽ̀	ẽ ¹	1
^n	n	10
u̧$	*u̧/ũ	7
^o	*o/o	6
^ò	o ¹	1
^s	s	16
^t	t	24
á$	a ⁵	1
an	ã 	1
¹	*¹/¹	4
²$	*²/³	2
^u	*u/u	3
^ù	u ¹	1
^w	*w/β	13
ⁿd	ⁿd	2
^x	*x/ʃ	12
y$	*y/j	1
^y	*y/j	35
a̧	*a̧/ã	1
ȩ$	*ȩ/ẽ	2
^ʔ	ʔ	13
ã̀$	ã ¹	1
ĩ̀	ĩ ¹	1
ẽ́$	ẽ ⁵	1
ó$	o ⁵	1
