Grapheme	IPA	Frequency
^h	*h/ʔ	6
a	*a/a	26
ʔ	ʔ	35
y	*y/ʒ	2
i$	*i/i	24
^ñ	ɲ	8
a̧	*a̧/ã	10
n	n	14
i̧$	*i̧/ĩ	11
^tʸ	tʲ	1
a$	*a/a	18
^s	s	10
t	t	16
o	*o/o	8
o$	*o/o	14
u	*u/u	12
^n	n	6
ì̧	ĩ ¹	3
ì̧$	ĩ ¹	4
ù̧	ũ ¹	2
ū̧$	ũ ³	1
^ž	ʒ	14
u$	*u/u	5
^š	ʃ	3
i	*i/i	28
ì	i ¹	10
k	k	9
ò$	o ¹	4
^č	tʃ	4
i̧	*i̧/ĩ	10
^kʷ	kʷ	8
e	*e/e	8
e$	*e/e	5
u̧$	*u̧/ũ	10
^ⁿd	ⁿd	14
kʷ	kʷ	4
s	s	8
u̧	*u̧/ũ	10
^v	β	3
ƀ	β	5
^t	t	17
^k	k	12
ī	i ³	3
ì$	i ¹	11
^l	l	3
ò	o ¹	3
r	*r/ɾ	1
-	+	17
ž	ʒ	3
a̧$	*a̧/ã	7
hʸ	hʲ	1
í̧$	ĩ ⁵	1
ò̧	õ ¹	4
m	m	6
ī̧$	*ī̧/ĩ ³	1
^y	*y/j	1
ā	a ³	1
o̧	*o̧/õ	3
^ʔ	ʔ	12
à̧	ã ¹	2
à̧$	ã ¹	2
^ⁿč	ⁿtʃ	1
ó	o ⁵	1
ō$	o ³	1
ū	u ³	1
č	tʃ	4
ñ	ɲ	2
ⁿd	ⁿd	1
á$	a ⁵	3
^sʸ	sʲ	1
h	*h/ʔ	5
I$	i̥	1
à$	a ¹	2
tʸ	tʲ	1
à	a ¹	2
ū̧	ũ ³	1
ù̧$	ũ ¹	3
v	β	4
ù	u ¹	2
š	ʃ	2
^ƀ	β	4
í	i ⁵	1
ʔʸ	ʔʲ	1
o̧$	*o̧/õ	1
^ⁿdʸ	ⁿdʲ	1
