Grapheme	IPA	Frequency
^a	*a/a	3
m	m	22
a$	*a/a	73
s	s	19
i$	*i/i	43
^a̧	*a̧/ã	1
w	*w/β	16
a̧$	*a̧/ã	9
z	s	6
^ƀ	β	3
à	a ¹	7
ʔ	ʔ	45
ā$	a ³	3
ē	e ³	2
ē$	e ³	2
ī	i ³	2
tʸ	tʲ	12
ī$	*ī/i ³	5
^c	k	27
a	*a/a	84
c	k	21
h	*h/ʔ	58
n	n	15
u$	*u/u	47
ñ	ɲ	37
^č	tʃ	10
š	ʃ	3
t	t	38
ɨ$	*ɨ/ɨ	26
u̧$	*u̧/ũ	12
tyi	*tyi/tʲ i	8
$	NULL	13
v	β	18
y	*y/ʒ	47
a̧	*a̧/ã	6
^ch	tʃ	1
o	*o/o	23
e$	*e/e	15
i	*i/i	60
-	+	31
o$	*o/o	31
ɨ	*ɨ/ɨ	31
č	tʃ	11
u	*u/u	66
an$	*an/ã	3
e	*e/e	19
ù	u ¹	9
ù$	u ¹	9
x	*x/ʃ	6
^i	*i/i	14
^ī̧ī̧$	ĩ ³ ĩ ³	1
k	k	12
^i̧	*i̧/ĩ	2
^ī	i ³	2
à$	a ¹	9
tya	*tya/tʲ a	4
i̧$	*i̧/ĩ	13
^ɨ	*ɨ/ɨ	2
n$	n	2
^k	k	20
á	a ⁵	1
í$	i ⁵	2
ū$	u ³	6
ɨ̀	ɨ ¹	5
ƀ	β	4
ɨ̀$	ɨ ¹	5
ɨ̄	ɨ ³	2
ɨ̄$	ɨ ³	1
o̧	*o̧/õ	3
o̧$	*o̧/õ	4
ò	o ¹	4
ò$	o ¹	5
ì$	i ¹	4
u̧	*u̧/ũ	13
^kʷ	kʷ	8
á̧	ã ⁵	1
á̧$	ã ⁵	1
i̧	*i̧/ĩ	5
ì	i ¹	4
^l	l	3
l	l	6
ú	u ⁵	2
^m	m	6
in$	ĩ	1
ⁿdʸ	ⁿdʲ	1
^n	n	35
d	d	22
cua	kʷ a	2
^ⁿd	ⁿd	16
kʷ	kʷ	1
ā	a ³	6
qu	k	3
ū	u ³	11
^ⁿdʸ	ⁿdʲ	3
ɨ̧̀	ɨ̃ ¹	2
ɨ̧̀$	ɨ̃ ⁵	2
^ñ	ɲ	22
ú$	u ⁵	1
^o	*o/o	2
on$	*on/õ	1
^o̧	*o̧/õ	1
^p	p	1
an	ã 	2
ón$	õ ⁵	1
^qu	k	5
^r	*r/ɾ	2
^s	s	27
á$	a ⁵	2
un$	*un/ũ	2
^š	ʃ	4
ɨ̧	*ɨ̧/ɨ̃	3
ɨ̧$	*ɨ̧/ɨ̃	3
+	?+	1
ⁿd	ⁿd	1
ù̧$	ũ ¹	1
^t	t	42
r	*r/ɾ	1
ɨ́$	ɨ ⁵	1
oon$	*oon/õ õ	2
ūn$	ũ ³	1
ù̧	ũ ¹	1
ū̧$	ũ ³	1
^tʸ	tʲ	3
iin$	ĩ ³ ĩ ³	1
tyí	tʲ i ⁵	1
^u	*u/u	12
^ù	u ¹	1
^u̧	*u̧/ũ	2
^v	β	7
^w	*w/β	6
^x	*x/ʃ	6
^y	*y/j	54
ō	o ³	3
ō$	o ³	3
^z	*z/s	12
^θ	θ	1
è	e ¹	1
