Grapheme	IPA	Frequency
^a	*a/a	1
s	s	6
i$	*i/i	24
^ƀ	β	8
a	*a/a	21
ʔ	ʔ	34
a$	*a/a	18
e	*e/e	10
e$	*e/e	7
i	*i/i	31
l	l	2
u$	*u/u	15
t	t	15
N	n̥	11
a̧$	*a̧/ã	14
x	*x/ʃ	7
i̧$	*i̧/ĩ	19
ž	ʒ	8
i̧	*i̧/ĩ	11
ⁿd	ⁿd	1
^ȼ	ts	3
-	+	13
n	n	12
a̧	*a̧/ã	9
u̧	*u̧/ũ	15
m	m	7
o	*o/o	6
k	k	12
o$	*o/o	8
^i	*i/i	4
^i̧	*i̧/ĩ	2
ñ	ɲ	8
u̧$	*u̧/ũ	17
^k	k	13
č	tʃ	5
í	i ⁵	1
ɨ	*ɨ/ɨ	1
ȼ	ts	1
ɨ$	*ɨ/ɨ	1
u	*u/u	21
š	ʃ	4
ƀ	β	9
^kʷ	kʷ	7
ȩ	*ȩ/ẽ	2
o̧$	*o̧/õ	1
^l	l	3
kʷ	kʷ	3
^m	m	1
^n	n	5
^ⁿd	ⁿd	14
ó	o ⁵	1
ō$	o ³	1
z	s	1
ī̧	ĩ ³	1
^ⁿǰ	ⁿdʒ	2
^ñ	ɲ	9
^r̃	r	1
^s	s	10
^š	ʃ	2
ā	a ³	1
ā$	a ³	1
^t	t	8
^u̧	*u̧/ũ	3
^u	*u/u	5
ṣ̌	ʂ	1
w	*w/β	2
^x	*x/ʃ	10
^ž	ʒ	15
