Grapheme	IPA	Frequency
^a	*a/a	1
m	m	8
a	*a/a	86
h	*h/ʔ	131
a$	*a/a	116
^ch	tʃ	38
á	a ⁵	8
án$	ã ⁵	1
t	t	20
r	*r/ɾ	27
u$	*u/u	8
ch	tʃ	8
i	*i/i	91
i$	*i/i	20
k	k	20
o	*o/o	24
e	*e/e	37
í	i ⁵	5
ñ	ɲ	4
s	s	4
l	l	4
u	*u/u	75
n	n	39
ô	o ⁵¹	3
ú$	u ⁵	6
en$	ẽ	1
g	g	21
hue	w e	4
e$	*e/e	6
kua	*kua/kʷ a	5
$	NULL	7
hh	hː	1
ú	u ⁵	5
hui	w i	6
^d	*d/ð	5
o$	*o/o	9
h$	*h/ʔ	1
^g	g	9
â	a ⁵¹	6
an	ã 	13
^gh	g	4
é	e ⁵	4
ts	ts	9
^h	*h/ʔ	7
ân$	ã ⁵¹	3
û	u ⁵¹	5
^k	k	28
d	d	1
ê	e ⁵¹	3
n$	n	2
û$	u ⁵¹	1
y	*y/ʒ	2
à	a ¹	2
^m	m	3
^mm	mː	2
^n	n	18
rr	rː	2
î	i ⁵¹	2
ng	ⁿg	1
á$	a ⁵	1
ó	o ⁵	2
^nn	nː	6
é$	e ⁵	1
^	NULL	1
N	n̥	1
^ñ	ɲ	1
^rr	rː	8
un$	*un/ũ	1
^s	s	2
^t	t	31
én$	ẽ ⁵	2
-	+	3
x	*x/ʃ	2
ó$	o ⁵	1
nn	nː	1
uun$	*uun/ũ ũ	1
^ts	ts	8
^tsia	tsʲ a ³	1
^ú	u ⁵	1
^x	*x/ʃ	3
an$	*an/ã	2
^y	*y/j	12
^yy	jː	1
