Grapheme	IPA	Frequency
^a̧	*a̧/ã	1
m	m	7
a̧$	*a̧/ã	8
^č	tʃ	4
i	*i/i	19
-	+	17
n	n	20
ɨ̧	*ɨ̧/ɨ̃	6
ñ	ɲ	13
ɨ̧$	*ɨ̧/ɨ̃	6
w	*w/β	15
i$	*i/i	17
l	l	2
u$	*u/u	17
^đ	ð	15
a	*a/a	25
č	tʃ	6
t	t	10
ž	ʒ	7
a$	*a/a	15
ʔ	ʔ	32
e	*e/e	15
đ	ð	9
e$	*e/e	15
i̧	*i̧/ĩ	12
N	n̥	7
i̧$	*i̧/ĩ	12
x	*x/ʃ	7
u̧$	*u̧/ũ	24
o	*o/o	5
o$	*o/o	7
u	*u/u	19
xʸ	*xʸ/xʲ	3
u̧	*u̧/ũ	16
ȩ$	*ȩ/ẽ	3
^i	*i/i	8
k	k	9
^i̧	*i̧/ĩ	2
^ǰ	dʒ	1
y	*y/ʒ	1
^k	k	6
s	s	1
ɨ	*ɨ/ɨ	8
ɨ$	*ɨ/ɨ	6
^kʷ	kʷ	4
^l	l	1
^m	m	1
^ⁿd	ⁿd	16
kʷ	kʷ	2
^n	n	11
ȩ	*ȩ/ẽ	5
^ⁿǰ	ⁿdʒ	1
^	NULL	1
ⁿd	ⁿd	2
^ñ	ɲ	9
a̧	*a̧/ã	6
^t	t	8
ʔ$	ʔ	1
^u̧	*u̧/ũ	3
^u	*u/u	5
š	ʃ	1
^w	*w/β	6
^x	*x/ʃ	3
^xʷ	*xʷ/ʃʷ	3
^ỹ	j̃	1
^ž	ʒ	21
r̃	rː	1
xʷ	*xʷ/ʃʷ	1
