Grapheme	IPA	Frequency
^s	s	11
e	*e/e	5
ʔ	ʔ	34
e$	*e/e	5
^ñ	ɲ	8
a̧	*a̧/ã	10
n	n	12
i̧$	*i̧/ĩ	20
^r	*r/ɾ	1
a	*a/a	29
i$	*i/i	22
^č	tʃ	11
i	*i/i	29
-	+	9
t	t	23
o	*o/o	5
o$	*o/o	7
u	*u/u	22
u$	*u/u	13
^n	n	4
í̧	ĩ ⁵	1
í̧$	ĩ ⁵	1
u̧	*u̧/ũ	16
u̧$	*u̧/ũ	22
^y	*y/j	16
^š	ʃ	3
k	k	9
^t	t	11
i̧	*i̧/ĩ	7
ñ	ɲ	8
a$	*a/a	23
^kʷ	kʷ	8
^ⁿd	ⁿd	17
kʷ	kʷ	1
š	ʃ	3
č	tʃ	10
ʔ$	ʔ	1
m	m	8
^w	*w/β	7
w	*w/β	16
y	*y/ʒ	8
^k	k	12
s	s	7
a̧$	*a̧/ã	13
^i	*i/i	4
^m	m	1
l	l	1
ò	o ¹	1
ò$	o ¹	1
ⁿd	ⁿd	1
^i̧	*i̧/ĩ	3
^u	*u/u	5
^u̧	*u̧/ũ	3
^l	l	1
^a	*a/a	1
^a̧	*a̧/ã	1
