Grapheme	IPA	Frequency
^a	*a/a	1
s	s	8
i̧$	*i̧/ĩ	22
^ƀ	β	3
i	*i/i	39
l	l	3
u$	*u/u	18
š	ʃ	2
ṣ̌	ʂ	3
^č	tʃ	1
i$	*i/i	24
^i	*i/i	2
k	k	10
^i̧	*i̧/ĩ	2
ñ	ɲ	11
u̧$	*u̧/ũ	23
ʔ	ʔ	33
n	n	19
^k	k	14
a	*a/a	22
-	+	11
a$	*a/a	17
č	tʃ	4
ƀ	β	2
t	t	16
w	*w/β	12
o	*o/o	6
o$	*o/o	8
u	*u/u	19
kʷ	kʷ	2
u̧	*u̧/ũ	13
^kʷ	kʷ	7
a̧	*a̧/ã	9
a̧$	*a̧/ã	13
e	*e/e	14
ȩ	*ȩ/ẽ	2
ȩ$	*ȩ/ẽ	1
e$	*e/e	9
ž	ʒ	8
^l	l	1
^m	m	1
i̧	*i̧/ĩ	12
^n	n	5
m	m	7
^ⁿd	ⁿd	16
ⁿd	ⁿd	2
x	*x/ʃ	7
^ñ	ɲ	9
^s	s	10
^š	ʃ	2
^ṣ̌	ʂ	2
^t	t	8
y	*y/ʒ	1
^tn	tⁿ	6
o̧$	*o̧/õ	1
^u̧	*u̧/ũ	3
^u	*u/u	5
^w	*w/β	11
^x	*x/ʃ	10
N	n̥	2
ɨ	*ɨ/ɨ	1
ɨ$	*ɨ/ɨ	1
^ž	ʒ	18
r̃	rː	1
kⁿ$	kⁿ	1
^ẓ̌	ʐ	1
