Grapheme	IPA	Frequency
^s	s	6
e	*e/e	6
ʔ	ʔ	21
e$	*e/e	5
^y	*y/j	6
a̧	*a̧/ã	5
ñ	ɲ	11
u̧$	*u̧/ũ	15
^ž	ʒ	6
^r	*r/ɾ	1
a	*a/a	21
-	+	2
y	*y/ʒ	5
ɨ	*ɨ/ɨ	8
ɨ$	*ɨ/ɨ	6
^n	n	2
ɨ̧	*ɨ̧/ɨ̃	4
ɨ̧$	*ɨ̧/ɨ̃	5
o	*o/o	3
o$	*o/o	3
^š	ʃ	1
i	*i/i	11
č	tʃ	14
i$	*i/i	12
^č	tʃ	11
u	*u/u	16
k	k	7
i̧	*i̧/ĩ	1
i̧$	*i̧/ĩ	8
s	s	1
a$	*a/a	17
^kʷ	kʷ	6
^ⁿd	ⁿd	11
^l	l	2
kʷ	kʷ	1
š	ʃ	3
a̧$	*a̧/ã	9
^ñ	ɲ	5
u̧	*u̧/ũ	9
^ƀ	β	3
^ǰ	dʒ	1
ƀ	β	9
^k	k	8
m	m	6
ž	ʒ	2
u$	*u/u	12
t	t	3
^t	t	4
^i	*i/i	3
^ᵐb	ᵐb	2
l	l	3
^m	m	2
ɡ	g	1
tʸ	tʲ	2
^ⁿǰ	ⁿdʒ	5
w	*w/β	2
o̧	*o̧/õ	2
o̧$	*o̧/õ	2
^ʔ	ʔ	1
r	*r/ɾ	1
n	n	4
x	*x/ʃ	1
ⁿǰ	ⁿdʒ	1
^u	*u/u	3
^u̧	*u̧/ũ	3
^i̧	*i̧/ĩ	1
^a̧	*a̧/ã	1
