Grapheme	IPA	Frequency
^a	*a/a	2
s	s	13
ɨ̄$	ɨ ³	11
ɨ̄	ɨ ³	9
n$	n	4
^ƀ	β	8
à	a ¹	4
ʔ	ʔ	53
ā$	a ³	26
ā	a ³	18
a$	*a/a	29
ē	e ³	11
ē$	e ³	9
í	i ⁵	6
l	l	6
ū$	u ³	26
ī	i ³	10
N	n̥	14
i	*i/i	22
š	ʃ	4
ī$	*ī/i ³	16
ì$	i ¹	2
i̧	*i̧/ĩ	5
ⁿd	ⁿd	1
e$	*e/e	9
^c	k	16
a	*a/a	36
c	k	10
á	a ⁵	16
h	*h/ʔ	31
n	n	49
u$	*u/u	25
^č	tʃ	2
k	k	18
á$	a ⁵	7
i$	*i/i	15
^ch	tʃ	3
é	e ⁵	5
ng	ⁿg	1
o$	*o/o	9
j	*j/h	9
ì	i ¹	3
o	*o/o	11
ō$	o ³	11
u	*u/u	38
án$	ã ⁵	1
ú	u ⁵	5
é$	e ⁵	7
e	*e/e	11
y	*y/ʒ	16
ɨ$	*ɨ/ɨ	12
ín$	ĩ ⁵	1
ū	u ³	18
ñ	ɲ	17
uūn$	ũ ¹ ũ ³	1
^i	*i/i	12
ch	tʃ	3
^ī	i ³	4
č	tʃ	7
^ī̧ī̧$	ĩ ³ ĩ ³	1
u̧$	*u̧/ũ	15
^i̧	*i̧/ĩ	1
t	t	26
^ɨ̄	ɨ ³	1
ɨ̧̀$	ɨ̃ ⁵	1
^ɨ	*ɨ/ɨ	2
ɨ	*ɨ/ɨ	21
^j	*j/h	8
í$	i ⁵	7
ɨ́	ɨ ⁵	5
ɨ́$	ɨ ⁵	4
un$	*un/ũ	1
ú$	u ⁵	6
^k	k	23
m	m	10
i̧$	*i̧/ĩ	10
v	β	13
ƀ	β	8
ɨ̀$	ɨ ¹	1
ɨ̀	ɨ ¹	1
ō	o ³	5
ò$	o ¹	4
ù	u ¹	4
ū̧	ũ ³	5
u̧	*u̧/ũ	11
ù̧$	ũ ¹	3
x	*x/ʃ	11
ù$	u ¹	6
^kʷ	kʷ	11
á̧	ã ⁵	3
á̧$	ã ⁵	2
ȩ́	ẽ ⁵	1
í̧$	ĩ ⁵	3
ɨ̧	*ɨ̧/ɨ̃	4
ɨ̧$	*ɨ̧/ɨ̃	3
^l	l	8
kʷ	kʷ	2
an	ã 	3
^m	m	2
ī̧$	*ī̧/ĩ ³	2
ī̧	ĩ ³	2
^n	n	34
a̧$	*a̧/ã	6
à$	a ¹	4
d	d	13
-	+	10
ó	o ⁵	1
^ⁿd	ⁿd	22
ēn$	ẽ ³	2
ȩ̄$	ẽ ³	1
ȩ̀$	ẽ ¹	1
qu	k	3
í̧	ĩ ⁵	2
^nn	nː	1
^	NULL	5
ɨ̧́$	ɨ̃ ⁵	1
ú̧$	ũ ⁵	2
ú̧	ũ ⁵	1
ù̧	ũ ¹	2
ū̧$	ũ ³	6
^ñ	ɲ	17
an$	*an/ã	1
a̧	*a̧/ã	3
ā̧	ã ³	1
ā̧$	ã ³	3
ȩ$	*ȩ/ẽ	1
^o	*o/o	1
^qu	k	4
^s	s	28
è	e ¹	3
^š	ʃ	2
ò	o ¹	1
^t	t	17
^u	*u/u	11
ūn$	ũ ³	2
^u̧	*u̧/ũ	3
^ū	u ³	1
^ū̧	ũ ³	1
^v	β	8
nd	ⁿd	1
^x	*x/ʃ	14
en$	ẽ	1
è$	e ¹	1
ž	ʒ	1
ún$	ũ ⁵	1
^y	*y/j	27
^ž	ʒ	23
w	*w/β	1
