Grapheme	IPA	Frequency
^n	n	28
á	a ⁵	23
n	n	30
á$	a ⁵	12
a	*a/a	39
^t	t	30
t	t	39
^h	*h/ʔ	11
à	a ¹	12
ʔ	ʔ	41
ž	ʒ	5
ī$	*ī/i ³	19
i$	*i/i	40
^x	*x/ʃ	16
h	*h/ʔ	37
y	*y/ʒ	10
ī	i ³	10
-	+	14
ā$	a ³	21
^kʸ	kʲ	1
ƀ	β	16
à$	a ¹	13
^k	k	30
v	β	9
^ñ	ɲ	17
ì$	i ¹	11
a̧	*a̧/ã	5
i̧$	*i̧/ĩ	12
ā	a ³	17
ì	i ¹	8
i	*i/i	47
x	*x/ʃ	7
ò$	o ¹	7
o$	*o/o	19
a$	*a/a	30
á̧	ã ⁵	2
à̧$	ã ¹	2
u	*u/u	14
u$	*u/u	10
i̧	*i̧/ĩ	8
^y	*y/j	14
k	k	21
í$	i ⁵	10
^í	i ⁵	3
ù	u ¹	1
ù$	u ¹	1
^ž	ʒ	21
ǘ	ʉ ⁵	3
ǜ$	ʉ ¹	4
ú	u ⁵	5
o	*o/o	10
ō$	o ³	4
í	i ⁵	11
ó$	o ⁵	2
^ⁿd	ⁿd	16
d	d	14
^č	tʃ	6
í̧	ĩ ⁵	1
ì̧$	ĩ ¹	3
^ch	tʃ	3
íin$	ĩ ⁵ ĩ ³	1
š	ʃ	5
sh	ʃ	2
^š	ʃ	5
u̧$	*u̧/ũ	13
^s	s	8
^kʷ	kʷ	9
è	e ¹	1
è$	e ¹	1
^kw	kʷ	7
e	*e/e	5
e$	*e/e	6
ñ	ɲ	7
m	m	14
ǜ	ʉ ¹	3
s	s	8
ū	u ³	7
ū$	u ³	7
u̧	*u̧/ũ	10
^ƀ	β	8
ē	e ³	2
ē$	e ³	2
^v	β	6
č	tʃ	5
ch	tʃ	7
^l	l	9
ò	o ¹	5
iín$	ĩ ³ ĩ ⁵	1
ì̧	ĩ ¹	1
í̧$	ĩ ⁵	1
^	NULL	1
ǖ	ʉ ³	2
ǖ$	ʉ ³	2
^ü	*ü/ʉ	2
ü$	ʉ	3
^u	*u/u	8
kʷ	kʷ	2
kw	kʷ	2
ún$	ũ ⁵	2
ó	o ⁵	4
^ī	i ³	3
ù̧	ũ ¹	3
^ū	u ³	1
ü	*ü/ʉ	2
an$	*an/ã	1
a̧$	*a̧/ã	4
^sh	ʃ	2
à̧	ã ¹	1
á̧$	ã ⁵	1
án$	ã ⁵	1
ú̧$	ũ ⁵	1
^ī̧ī̧$	ĩ ³ ĩ ³	1
n$	n	2
^ì	i ¹	1
^ʔ	ʔ	1
^i	*i/i	3
^u̧	*u̧/ũ	3
^ù̧	ũ ¹	1
ù̧$	ũ ¹	1
un$	*un/ũ	2
^i̧	*i̧/ĩ	1
^ì̧	ĩ ¹	1
^o	*o/o	1
ō	o ³	2
l	l	1
^a	*a/a	1
ú$	u ⁵	3
^θ	θ	1
ū̧	ũ ³	1
ū̧$	ũ ³	2
ūūn$	ũ ³ ũ ³	1
ūn$	ũ ³	1
