Grapheme	IPA	Frequency
^đ	ð	12
è	e ¹	1
ʔ	ʔ	30
ē$	e ³	2
e	*e/e	10
e$	*e/e	6
^k	k	13
ù	u ¹	7
ā$	a ³	5
^ñ	ɲ	8
ā	a ³	6
n	n	13
ī$	*ī/i ³	5
a̧	*a̧/ã	2
i̧$	*i̧/ĩ	10
ù$	u ¹	2
ī	i ³	5
đ	ð	7
t	t	16
ò$	o ¹	3
^tʸ	tʲ	2
à	a ¹	8
a	*a/a	18
a$	*a/a	13
ā̧	ã ³	1
à̧$	ã ¹	3
^n	n	3
i̧	*i̧/ĩ	4
^y	*y/j	7
á$	a ⁵	2
^t	t	7
u	*u/u	13
u̧$	*u̧/ũ	12
i	*i/i	26
k	k	7
^ⁿd	ⁿd	11
-	+	16
$	NULL	4
^č	tʃ	8
ī̧	ĩ ³	1
ī̧$	*ī̧/ĩ ³	2
i̧ⁿ$	*i̧ⁿ/ĩ	1
š	ʃ	5
i$	*i/i	26
^s	s	10
^kʷ	kʷ	9
^ⁿs	ⁿs	3
kʷ	kʷ	4
m	m	9
ì	i ¹	6
s	s	7
a̧$	*a̧/ã	8
u$	*u/u	8
^ƀ	β	9
ē	e ³	1
ū	u ³	2
ì$	i ¹	4
^ž	ʒ	9
l	l	1
y	*y/ʒ	1
ò	o ¹	1
u̧	*u̧/ũ	10
à$	a ¹	2
^ī	i ³	2
ū$	u ³	3
^tn	tⁿ	1
o	*o/o	5
o$	*o/o	4
ƀ	β	8
č	tʃ	4
^i̧	*i̧/ĩ	2
ñ	ɲ	4
^i	*i/i	2
^š	ʃ	2
ⁿd	ⁿd	1
ō	o ³	1
à̧	ã ¹	1
á̧$	ã ⁵	1
^ī̧ī̧$	ĩ ³ ĩ ³	1
^ù	u ¹	1
^u	*u/u	3
^u̧	*u̧/ũ	3
^ì̧	ĩ ¹	1
ì̧$	ĩ ¹	1
í$	i ⁵	1
ɡ	g	1
ū̧	ũ ³	1
ū̧$	ũ ³	1
^a̧	*a̧/ã	1
