Grapheme	IPA	Frequency
^h	*h/ʔ	7
a	*a/a	18
ʔ	ʔ	36
ž	ʒ	10
i$	*i/i	26
^ñ	ɲ	9
a̧	*a̧/ã	12
n	n	16
i̧$	*i̧/ĩ	11
^tʸ	tʲ	1
à	a ¹	4
ā$	a ³	1
^š	ʃ	9
i	*i/i	28
-	+	20
t	t	18
o	*o/o	12
o$	*o/o	13
ü	*ü/ʉ	3
ü$	ʉ	3
^n	n	4
ì̧	ĩ ¹	1
ì̧$	ĩ ¹	2
ū̧	ũ ³	1
u̧$	*u̧/ũ	14
^ž	ʒ	14
u	*u/u	8
u$	*u/u	4
k	k	8
^č	tʃ	4
i̧	*i̧/ĩ	12
^s	s	4
a$	*a/a	18
^kʷ	kʷ	7
e	*e/e	12
e$	*e/e	7
ñ	ɲ	7
^ⁿd	ⁿd	16
s	s	4
u̧	*u̧/ũ	8
^v	β	2
ƀ	β	8
^t	t	16
^k	k	11
^l	l	1
ò	o ¹	3
á	a ⁵	1
á$	a ⁵	1
ì	i ¹	13
š	ʃ	6
á̧$	ã ⁵	2
í	i ⁵	1
à̧	ã ¹	2
à̧$	ã ¹	3
h	*h/ʔ	6
m	m	7
a̧$	*a̧/ã	5
ī̧	ĩ ³	1
í̧$	ĩ ⁵	1
A	ḁ	1
kʷ	kʷ	5
^m	m	1
ô̧	õ ⁵¹	2
ù̧	ũ ¹	3
^ʔ	ʔ	13
à$	a ¹	2
č	tʃ	5
ì$	i ¹	7
ō	o ³	1
ò$	o ¹	2
ⁿdʸ	ⁿdʲ	1
x	*x/ʃ	1
ā	a ³	1
í$	i ⁵	1
ú	u ⁵	1
ū	u ³	1
tʸ	tʲ	1
ā̧	ã ³	1
^y	*y/j	1
v	β	4
ù̧$	ũ ¹	1
^ƀ	β	4
^lʸ	lʲ	1
ō̧	õ ³	1
ō̧$	õ ³	1
