Grapheme	IPA	Frequency
^d	*d/ð	14
ɨ	*ɨ/ɨ	14
h	*h/ʔ	38
ɨ̄$	ɨ ³	2
^ñ	ɲ	12
ā	a ³	7
â$	a ⁵¹	2
^u	*u/u	11
v	β	11
ā$	a ³	6
^ū	u ³	1
^í	i ⁵	5
ʔ	ʔ	62
š	ʃ	19
á$	a ⁵	13
^i	*i/i	17
i$	*i/i	37
sh	ʃ	10
y	*y/ʒ	2
ō	o ³	3
k	k	24
ó$	o ⁵	6
^é	e ⁵	1
n	n	25
í̧$	ĩ ⁵	2
^ȩ	ẽ	1
i̧$	*i̧/ĩ	13
^e	*e/e ³	7
í$	i ⁵	7
^t	t	22
a	*a/a	26
an$	*an/ã	1
^đ	ð	12
í	i ⁵	9
đ	ð	10
t	t	33
ī	i ³	5
-	+	16
i	*i/i	24
θ	θ	2
o	*o/o	9
o$	*o/o	12
u	*u/u	39
u$	*u/u	18
^n	n	24
ɨ̧	*ɨ̧/ɨ̃	7
ñ	ɲ	19
ɨ̧$	*ɨ̧/ɨ̃	6
d	d	17
ú̧	ũ ⁵	1
ǔ̧$	ũ ¹⁵	2
ú	u ⁵	14
ù̧	ũ ¹	3
ú̧$	ũ ⁵	4
u̧	*u̧/ũ	13
u̧$	*u̧/ũ	21
^š	ʃ	31
ù	u ¹	5
ù$	u ¹	2
^sh	ʃ	10
^l	l	9
ȼ	ts	8
ts	ts	8
īn$	ĩ ³	1
un$	*un/ũ	6
^ⁿd	ⁿd	19
à	a ¹	11
à$	a ¹	3
a$	*a/a	19
^ȼ	ts	6
ì̧	ĩ ¹	1
ì̧$	ĩ ¹	2
^č	tʃ	2
i̧	*i̧/ĩ	9
^ts	ts	5
iin$	ĩ ³ ĩ ³	1
^á	a ⁵	1
ɨ$	*ɨ/ɨ	9
ɨ́	ɨ ⁵	4
n$	n	3
^kʷ	kʷ	13
^kw	kʷ	6
^ch	tʃ	2
ó	o ⁵	7
ō$	o ³	5
kʷ	kʷ	4
e	*e/e	10
e$	*e/e	16
m	m	18
à̧$	ã ¹	1
ȩ̌$	ẽ ¹⁵	1
ȩ$	*ȩ/ẽ	8
en$	ẽ	2
ú$	u ⁵	7
^ƀ	β	10
ì	i ¹	5
ì$	i ¹	4
^v	β	5
ƀ	β	17
^k	k	30
á	a ⁵	5
ǒ$	o ¹⁵	3
é$	e ⁵	5
^s	s	1
nd	ⁿd	2
ɨ̄	ɨ ³	3
^r	*r/ɾ	1
ȩ	*ȩ/ẽ	3
á̧$	ã ⁵	2
^m	m	3
s	s	1
in$	ĩ	2
ē$	e ³	3
ū$	u ³	6
ǎ$	a ¹⁵	3
a̧	*a̧/ã	5
a̧$	*a̧/ã	6
^ⁿdʸ	ⁿdʲ	2
ē	e ³	3
én$	ẽ ⁵	1
r	*r/ɾ	1
ín$	ĩ ⁵	3
ⁿd	ⁿd	3
kw	kʷ	1
ɨ̀	ɨ ¹	1
ɨ́$	ɨ ⁵	2
ūn$	ũ ³	4
^u̧	*u̧/ũ	4
ò	o ¹	1
ò$	o ¹	1
ǐ$	i ¹⁵	3
è$	e ¹	1
ī$	*ī/i ³	7
ǔ$	u ¹⁵	1
è	e ¹	3
à̧	ã ¹	1
ūún$	ũ ³ ũ ⁵	1
^ɨ	*ɨ/ɨ	1
^ú	u ⁵	7
ǐ̧$	ĩ ¹⁵	3
^ú̧	ũ ⁵	1
^i̧	*i̧/ĩ	2
^ɨ̄	ɨ ³	1
é	e ⁵	2
^ó	o ⁵	1
ù̧$	ũ ¹	1
č	tʃ	1
an	ã 	2
í̧	ĩ ⁵	1
ě$	e ¹⁵	1
ēn$	ẽ ³	1
^a̧	*a̧/ã	1
^a	*a/a	1
