Grapheme	IPA	Frequency
^a	*a/a	1
ð	ð	9
ɨ̄$	ɨ ³	1
^ƀ	β	6
à	a ¹	3
ʔ	ʔ	28
á$	a ⁵	17
e	*e/e	15
e$	*e/e	11
i	*i/i	27
đ	ð	6
i̧$	*i̧/ĩ	5
l	l	4
u$	*u/u	25
š	ʃ	6
i$	*i/i	14
^č	tʃ	2
á	a ⁵	26
k	k	18
à$	a ¹	2
^ch	tʃ	4
ā	a ³	2
a$	*a/a	26
ó	o ⁵	7
ó$	o ⁵	6
ūún$	ũ ³ ũ ⁵	1
-	+	13
a	*a/a	21
^ð	ð	15
h	*h/ʔ	38
y	*y/ʒ	9
an	ã 	3
m	m	2
^đ	ð	13
ú$	u ⁵	23
v	β	2
w	*w/β	2
ž	ʒ	1
é	e ⁵	6
én$	ẽ ⁵	1
ch	tʃ	10
í$	i ⁵	17
ì	i ¹	2
í	i ⁵	17
î$	i ⁵¹	8
n	n	44
t	t	35
â$	a ⁵¹	7
i̧	*i̧/ĩ	2
ò$	o ¹	1
ô$	o ⁵¹	5
u̧$	*u̧/ũ	18
ɨ́	ɨ ⁵	9
o$	*o/o	8
o	*o/o	5
ò	o ¹	1
ú	u ⁵	19
án$	ã ⁵	1
u	*u/u	15
x	*x/ʃ	4
u̧	*u̧/ũ	11
a̧$	*a̧/ã	5
^ī	i ³	1
^í	i ⁵	8
^i	*i/i	4
ñ	ɲ	15
û$	u ⁵¹	9
^i̧	*i̧/ĩ	2
ỹ	j̃	1
^ɨ̧́ɨ̧́$	ɨ̃ ⁵ ɨ̃ ⁵	1
^ɨ̧̀ɨ̧̀$	ɨ̃ ¹ ɨ̃ ¹	1
^ɨ́	ɨ ⁵	1
ɨ̂	ɨ ⁵¹	1
n$	n	4
^ɨ̄	ɨ ³	1
ɨ̄	ɨ ³	5
^k	k	27
č	tʃ	4
à̧	ã ¹	2
ù̧$	ũ ¹	1
ɨ̂$	ɨ ⁵¹	1
ɨ	*ɨ/ɨ	11
ɨ$	*ɨ/ɨ	10
ɨ̀	ɨ ¹	2
ɨ̀$	ɨ ¹	2
ó̧	õ ⁵	1
ó̧$	õ ⁵	1
óôn$	õ ⁵ õ ⁵¹	1
^kw	kʷ	13
^kʷ	kʷ	7
à̧$	ã ¹	1
a̧	*a̧/ã	3
āan	ã ³ ã ¹	1
$	NULL	1
ī$	*ī/i ³	3
ē$	e ³	1
ȩ	*ȩ/ẽ	1
ī	i ³	1
ā$	a ³	2
sh	ʃ	6
^l	l	4
ù	u ¹	1
ì$	i ¹	2
^m	m	1
^n	n	21
d	d	10
^ⁿd	ⁿd	12
kʷ	kʷ	1
ū	u ³	8
ɨ̧	*ɨ̧/ɨ̃	4
ɨ̧$	*ɨ̧/ɨ̃	5
^ⁿr	ⁿr	1
^ñ	ɲ	17
ɨ́$	ɨ ⁵	2
û	u ⁵¹	3
^ó	o ⁵	2
ô	o ⁵¹	2
^š	ʃ	7
^s	s	2
é$	e ⁵	2
^sh	ʃ	7
ê$	e ⁵¹	2
^t	t	15
á̧$	ã ⁵	1
î	i ⁵¹	1
^tn	tⁿ	9
ū$	u ³	2
^ú	u ⁵	6
^u̧	*u̧/ũ	3
^u	*u/u	3
^v	β	9
ē	e ³	2
nd	ⁿd	1
^y	*y/j	20
^ž	ʒ	12
i̧ⁿ$	*i̧ⁿ/ĩ	1
