Grapheme	IPA	Frequency
^t	t	29
a	*a/a	54
t	t	30
à$	a ¹	26
^s	s	27
è	e ¹	4
ʔ	ʔ	48
ē$	e ³	2
e	*e/e	8
e$	*e/e	10
'	ʔ	46
^ñ	ɲ	18
a̧	*a̧/ã	7
n	n	28
i̧$	*i̧/ĩ	17
an	ã 	2
ì$	i ¹	18
^š	ʃ	3
ī	i ³	2
ò$	o ¹	1
^č	tʃ	11
à	a ¹	24
ā$	a ³	6
^tʸ	tʲ	7
a$	*a/a	33
^ch	tʃ	9
ā̧	ã ³	1
á̧$	ã ⁵	1
o	*o/o	14
o$	*o/o	13
-	+	29
u	*u/u	33
u$	*u/u	16
ù	u ¹	22
ù$	u ¹	11
^n	n	38
i̧	*i̧/ĩ	9
ìín$	ĩ ¹ ĩ ⁵	1
^í	i ⁵	2
k	k	34
í	i ⁵	10
ch	tʃ	27
é	e ⁵	7
é$	e ⁵	2
^i	*i/i	13
x	*x/ʃ	7
î$	i ⁵¹	3
ú$	u ⁵	10
ùún$	ũ ¹ ũ ⁵	2
^y	*y/j	45
â	a ⁵¹	1
á$	a ⁵	13
u̧	*u̧/ũ	15
u̧$	*u̧/ũ	15
un$	*un/ũ	5
ū	u ³	5
ó	o ⁵	4
i	*i/i	54
tʸ	tʲ	10
i$	*i/i	52
^x	*x/ʃ	4
ì	i ¹	26
ǐ$	i ¹⁵	22
ǔ$	u ¹⁵	5
^ⁿd	ⁿd	15
ā	a ³	3
d	d	17
î̧	ĩ ⁵¹	1
í̧$	ĩ ⁵	1
îín$	ĩ ⁵¹ ĩ ⁵	1
ȼ	ts	4
ī$	*ī/i ³	3
^ts	ts	11
^kʷ	kʷ	12
^kw	kʷ	15
è$	e ¹	1
ǎ$	a ¹⁵	13
ñ	ɲ	12
in$	ĩ	5
kʷ	kʷ	3
kw	kʷ	5
š	ʃ	5
m	m	19
^ⁿz	ⁿz	1
^ⁿdʸ	ⁿdʲ	7
č	tʃ	10
ts	ts	13
ǎ	a ¹⁵	6
ǔ	u ¹⁵	4
^ƀ	β	10
ē	e ³	1
^v	β	8
ƀ	β	14
v	β	11
^k	k	33
ò	o ¹	7
ó$	o ⁵	11
a̧$	*a̧/ã	9
an$	*an/ã	2
s	s	11
ǐ	i ¹⁵	4
á	a ⁵	13
ín$	ĩ ⁵	1
^l	l	3
í$	i ⁵	6
i᷅	i ⁵³	1
l	l	4
.	NULL	1
ǒ$	o ¹⁵	3
^ī	i ³	1
ú	u ⁵	2
^i̧	*i̧/ĩ	3
^ì	i ¹	3
ǐn$	ĩ ¹⁵	1
àn$	ã ¹	1
^m	m	5
ⁿdʸ	ⁿdʲ	1
^tsiò	tsʲ o ¹	1
ǔn$	ũ ¹⁵	1
w	*w/β	1
ō	o ³	1
nd	ⁿd	1
y	*y/ʒ	4
^ž	ʒ	1
ū$	u ³	3
ⁿd	ⁿd	2
$	NULL	1
î	i ⁵¹	1
á̧	ã ⁵	1
à̧$	ã ¹	1
^ī̧ī̧$	ĩ ³ ĩ ³	1
^u	*u/u	4
^ù	u ¹	9
^u̧	*u̧/ũ	3
^ù̧	ũ ¹	1
ù̧$	ũ ¹	1
n$	n	2
^ì̧	ĩ ¹	1
ì̧$	ĩ ¹	1
ìn$	ĩ ¹	1
^a	*a/a	1
^à	a ¹	1
^ȼ	ts	1
â$	a ⁵¹	1
ī̧	ĩ ³	1
ū̧$	ũ ³	2
uun$	*uun/ũ ũ	1
ù̧	ũ ¹	1
^a̧	*a̧/ã	1
