Grapheme	IPA	Frequency
^đ	ð	14
a	*a/a	23
ʔ	ʔ	33
ž	ʒ	7
a$	*a/a	18
^ñ	ɲ	7
a̧	*a̧/ã	10
n	n	22
i̧$	*i̧/ĩ	10
^t	t	7
e	*e/e	12
e$	*e/e	17
^s	s	1
t	t	13
o	*o/o	7
o$	*o/o	9
u	*u/u	18
u$	*u/u	16
^n	n	6
ɨ̧	*ɨ̧/ɨ̃	8
ñ	ɲ	8
ɨ̧$	*ɨ̧/ɨ̃	8
u̧	*u̧/ũ	13
u̧$	*u̧/ũ	18
^ž	ʒ	18
i̧	*i̧/ĩ	10
N	n̥	11
x	*x/ʃ	3
^	NULL	5
^š	ʃ	2
ɨ	*ɨ/ɨ	13
ɨ$	*ɨ/ɨ	11
^kʷ	kʷ	5
^xʷ	*xʷ/ʃʷ	2
ỹ	j̃	2
^ⁿd	ⁿd	18
kʷ	kʷ	4
đ	ð	11
i	*i/i	18
š	ʃ	4
m	m	9
a̧$	*a̧/ã	8
^w	*w/β	8
-	+	13
^i	*i/i	8
l	l	2
^k	k	5
xʷ	*xʷ/ʃʷ	1
^č	tʃ	2
^l	l	2
ⁿd	ⁿd	3
^ⁿdʸ	ⁿdʲ	1
^tʸ	tʲ	1
ȩ	*ȩ/ẽ	1
k	k	9
ȩ$	*ȩ/ẽ	3
č	tʃ	7
w	*w/β	8
i$	*i/i	12
ṣ̌	ʂ	4
^x	*x/ʃ	3
^m	m	1
^u	*u/u	5
^u̧	*u̧/ũ	2
^o̧	*o̧/õ	1
o̧$	*o̧/õ	1
^i̧	*i̧/ĩ	2
^ṣ̌	ʂ	1
^a	*a/a	1
^nn	nː	2
^y	*y/j	1
^a̧	*a̧/ã	1
ǐ$	i ¹⁵	1
