Grapheme	IPA	Frequency
^đ	ð	13
e	*e/e	19
ʔ	ʔ	35
e$	*e/e	11
^ñ	ɲ	8
a̧	*a̧/ã	8
n	n	17
i̧$	*i̧/ĩ	18
^t	t	9
-	+	13
š	ʃ	1
i	*i/i	29
i$	*i/i	24
^x	*x/ʃ	1
t	t	12
o	*o/o	6
o$	*o/o	8
u	*u/u	21
u$	*u/u	17
^n	n	7
i̧	*i̧/ĩ	13
ñ	ɲ	11
u̧	*u̧/ũ	13
u̧$	*u̧/ũ	21
^ṣ̌	ʂ	17
N	n̥	8
k	k	9
^nn	nː	3
^i	*i/i	6
^kʷ	kʷ	7
^ⁿd	ⁿd	17
a	*a/a	16
kʷ	kʷ	2
a$	*a/a	15
đ	ð	11
a̧$	*a̧/ã	13
^w	*w/β	9
y	*y/ʒ	7
^k	k	12
w	*w/β	12
^ž	ʒ	2
m	m	6
ȩ	*ȩ/ẽ	1
l	l	2
x	*x/ʃ	3
^š	ʃ	4
ññ	ɲ̥	1
č	tʃ	4
ⁿd	ⁿd	1
^m	m	1
ž	ʒ	1
r̃	rː	1
^u	*u/u	4
^u̧	*u̧/ũ	3
^i̧	*i̧/ĩ	2
ṣ	ʂ	1
ǎ$	a ¹⁵	1
ṣ̌	ʂ	1
^l	l	1
^a	*a/a	1
^	NULL	1
