Grapheme	IPA	Frequency
^ƀ	β	5
e	*e/e	9
e$	*e/e	10
ʔ	ʔ	19
i	*i/i	6
đ	ð	4
i$	*i/i	8
l	l	1
u$	*u/u	15
š	ʃ	6
^č	tʃ	2
a	*a/a	14
o	*o/o	3
t	t	7
o$	*o/o	5
^đ	ð	7
ƀ	β	3
a$	*a/a	11
ž	ʒ	4
i̧	*i̧/ĩ	3
N	n̥	6
n	n	11
i̧$	*i̧/ĩ	6
u	*u/u	13
x	*x/ʃ	3
u̧$	*u̧/ũ	13
^i	*i/i	6
k	k	2
^i̧	*i̧/ĩ	1
ñ	ɲ	5
^k	k	6
č	tʃ	3
ɨ̧	*ɨ̧/ɨ̃	4
m	m	5
ɨ̧$	*ɨ̧/ɨ̃	6
ɨ	*ɨ/ɨ	8
ɨ$	*ɨ/ɨ	4
u̧	*u̧/ũ	11
^kʷ	kʷ	5
a̧	*a̧/ã	3
a̧$	*a̧/ã	3
ȩ	*ȩ/ẽ	1
^l	l	3
ȩ$	*ȩ/ẽ	2
^n	n	4
-	+	4
ⁿd	ⁿd	3
^ⁿd	ⁿd	11
kʷ	kʷ	2
^nn	nː	2
^	NULL	3
^ñ	ɲ	6
^š	ʃ	1
^t	t	6
^u̧	*u̧/ũ	3
^u	*u/u	3
^y	*y/j	1
^ž	ʒ	8
