Grapheme	IPA	Frequency
^s	s	10
e	*e/e	5
ʔ	ʔ	31
e$	*e/e	5
^y	*y/j	23
a̧	*a̧/ã	7
ñ	ɲ	16
i̧$	*i̧/ĩ	10
^r	*r/ɾ	1
a	*a/a	25
-	+	8
y	*y/ʒ	8
ɨ	*ɨ/ɨ	14
ɨ$	*ɨ/ɨ	15
^č	tʃ	9
i	*i/i	17
t	t	10
o	*o/o	5
o$	*o/o	7
u	*u/u	21
u$	*u/u	16
^n	n	3
ɨ̧	*ɨ̧/ɨ̃	5
ɨ̧$	*ɨ̧/ɨ̃	5
u̧	*u̧/ũ	14
u̧$	*u̧/ũ	15
^š	ʃ	3
tʸ	tʲ	9
i$	*i/i	17
k	k	13
^tʸ	tʲ	4
i̧	*i̧/ĩ	6
a$	*a/a	24
^kʷ	kʷ	6
^ⁿd	ⁿd	11
kʷ	kʷ	2
^ⁿdʸ	ⁿdʲ	5
č	tʃ	9
a̧$	*a̧/ã	11
^t	t	11
^ñ	ɲ	4
^w	*w/β	7
w	*w/β	15
^k	k	11
s	s	6
m	m	7
^i	*i/i	3
^m	m	2
l	l	2
š	ʃ	2
n	n	4
ⁿdʸ	ⁿdʲ	1
o̧	*o̧/õ	2
o̧$	*o̧/õ	2
^u	*u/u	6
^u̧	*u̧/ũ	3
^i̧	*i̧/ĩ	2
^l	l	1
^a	*a/a	1
^a̧	*a̧/ã	1
