Grapheme	IPA	Frequency
^à	a ¹	1
s	s	14
ì$	i ¹	42
^ƀ	β	4
à	a ¹	22
ʔ	ʔ	35
ā$	a ³	4
i	*i/i	58
č	tʃ	8
i$	*i/i	50
š	ʃ	11
i̧$	*i̧/ĩ	13
^č	tʃ	11
e	*e/e	14
e$	*e/e	11
^ch	tʃ	7
è	e ¹	4
'	ʔ	57
è$	e ¹	3
é	e ⁵	4
l	l	3
ì	i ¹	46
ch	tʃ	12
í$	i ⁵	16
íìn$	ĩ ⁵ ĩ ¹	1
ñ	ɲ	14
ù$	u ¹	7
í	i ⁵	10
t	t	42
uun$	*uun/ũ ũ	1
-	+	25
kʷ	kʷ	3
n	n	35
a̧	*a̧/ã	6
a̧$	*a̧/ã	10
u̧	*u̧/ũ	16
m	m	15
i̧	*i̧/ĩ	10
ī̧	ĩ ³	1
ù̧$	ũ ¹	2
o	*o/o	19
k	k	35
o$	*o/o	20
u̧$	*u̧/ũ	16
^ȼ	ts	1
^ȼʸ	tsʲ	1
^ì	i ¹	6
^i	*i/i	9
in$	ĩ	3
ìn$	ĩ ¹	5
^í	i ⁵	1
ntx	ⁿtɕ	3
x	*x/ʃ	26
àn$	ã ¹	3
ù	u ¹	27
$	NULL	3
sh	ʃ	8
a$	*a/a	32
^ī	i ³	1
n$	n	10
tx	tɕ	18
v	β	21
à$	a ¹	33
^k	k	44
á	a ⁵	23
u$	*u/u	8
a	*a/a	40
ī	i ³	4
ȼ	ts	2
nt	ⁿd	1
ò	o ¹	15
ò$	o ¹	14
ó	o ⁵	1
u	*u/u	27
á$	a ⁵	12
án$	ã ⁵	2
é$	e ⁵	2
ú$	u ⁵	2
ú̧	ũ ⁵	1
ì̧$	ĩ ¹	4
ⁿd	ⁿd	1
ú	u ⁵	1
ƀ	β	5
^kʷ	kʷ	8
^l	l	12
kuà	kʷ a ¹	1
w	*w/β	3
^m	m	3
^n	n	38
^ⁿč	ⁿtʃ	10
^ⁿd	ⁿd	6
y	*y/ʒ	2
ùún$	ũ ¹ ũ ⁵	2
kuá	kʷ a ⁵	1
un$	*un/ũ	2
ù̧	ũ ¹	4
^ñ	ɲ	21
an	ã 	2
ž	ʒ	2
^ò	o ¹	3
^s	s	15
^š	ʃ	10
à̧	ã ¹	1
à̧$	ã ¹	1
^sh	ʃ	8
an$	*an/ã	1
ún$	ũ ⁵	1
^šʸ	ʃʲ	1
^t	t	33
ⁿč	ⁿtʃ	1
ī̧$	*ī̧/ĩ ³	1
kuì	kʷ i ¹	1
ìín$	ĩ ¹ ĩ ⁵	1
ó$	o ⁵	1
^ù	u ¹	3
^ù̧	ũ ¹	1
^v	β	10
^x	*x/ʃ	15
kua	*kua/kʷ a	1
^y	*y/j	27
^ž	ʒ	16
ā	a ³	2
ū	u ³	1
^ʔ	ʔ	13
