Grapheme	IPA	Frequency
^a	*a/a	1
θ	θ	6
i$	*i/i	32
^ƀ	β	7
a	*a/a	33
ʔ	ʔ	36
a$	*a/a	22
e	*e/e	7
e$	*e/e	5
i	*i/i	43
š	ʃ	5
i̧$	*i̧/ĩ	20
tʸ	tʲ	1
i̧	*i̧/ĩ	13
ⁿd	ⁿd	2
^č	tʃ	6
-	+	18
ñ	ɲ	8
u̧$	*u̧/ũ	14
č	tʃ	5
t	t	22
o$	*o/o	15
u$	*u/u	2
o̧	*o̧/õ	8
o̧$	*o̧/õ	7
^i	*i/i	1
ƀ	β	15
^i̧	*i̧/ĩ	2
n	n	15
^k	k	13
a̧	*a̧/ã	10
k	k	11
m	m	7
o	*o/o	12
u	*u/u	7
^kʷ	kʷ	8
a̧$	*a̧/ã	12
y	*y/ʒ	5
^l	l	4
l	l	1
^m	m	1
y$	*y/j	1
^n	n	4
^ⁿd	ⁿd	18
kʷ	kʷ	4
Ñ	ɲ̥	1
ž	ʒ	3
ü$	ʉ	7
ü	*ü/ʉ	5
s	s	4
u̧	*u̧/ũ	7
^ñ	ɲ	11
^o	*o/o	2
^o̧	*o̧/õ	1
^s	s	4
^š	ʃ	6
^t	t	12
j	*j/h	1
^u̧	*u̧/ũ	3
^u	*u/u	3
^ü	*ü/ʉ	1
^y	*y/j	16
^ž	ʒ	3
^θ	θ	10
