Grapheme	IPA	Frequency
^θ	θ	7
e	*e/e	8
ʔ	ʔ	34
e$	*e/e	8
^ñ	ɲ	10
a̧	*a̧/ã	11
n	n	13
i̧$	*i̧/ĩ	10
^t	t	13
à	a ¹	1
ā$	a ³	2
^s	s	1
t	t	17
o	*o/o	13
o$	*o/o	12
ü	*ü/ʉ	6
ü$	ʉ	5
^n	n	4
ī̧	ĩ ³	1
ǐ̧$	ĩ ¹⁵	1
u̧	*u̧/ũ	12
u̧$	*u̧/ũ	12
^ž	ʒ	14
ǘ	ʉ ⁵	1
ǚ$	ʉ ¹⁵	1
ò	o ¹	3
ó$	o ⁵	2
i	*i/i	28
i$	*i/i	26
k	k	12
^č	tʃ	3
i̧	*i̧/ĩ	14
^š	ʃ	9
a	*a/a	23
a$	*a/a	16
^kʷ	kʷ	8
ñ	ɲ	7
^ⁿd	ⁿd	15
kʷ	kʷ	5
ì	i ¹	10
š	ʃ	8
á$	a ⁵	3
^v	β	2
-	+	21
θ	θ	7
ƀ	β	7
ž	ʒ	5
^k	k	14
^l	l	6
á	a ⁵	2
o̧	*o̧/õ	1
ⁿd	ⁿd	3
w	*w/β	1
θʸ	θʲ	1
a̧$	*a̧/ã	8
h	*h/ʔ	1
m	m	7
ā	a ³	2
^ʔ	ʔ	15
u	*u/u	7
u$	*u/u	3
^m	m	1
ù̧	ũ ¹	6
ī̧$	*ī̧/ĩ ³	1
ó	o ⁵	1
ō$	o ³	1
ǎ$	a ¹⁵	1
č	tʃ	7
ù	u ¹	2
í$	i ⁵	2
ǐ$	i ¹⁵	1
à$	a ¹	2
ǔ$	u ¹⁵	1
ì̧$	ĩ ¹	2
v	β	6
ì$	i ¹	2
ù̧$	ũ ¹	2
à̧$	ã ¹	1
à̧	ã ¹	1
^ƀ	β	4
ī	i ³	1
ú̧$	ũ ⁵	1
