Grapheme	IPA	Frequency
^a̧	*a̧/ã	1
m	m	5
a̧$	*a̧/ã	5
^b	*b/β	1
an	ã 	2
k	k	6
u$	*u/u	8
^ƀ	β	3
e	*e/e	9
e$	*e/e	8
ʔ	ʔ	15
i	*i/i	21
š	ʃ	4
i$	*i/i	23
^č	tʃ	4
-	+	6
i̧	*i̧/ĩ	4
ñ	ɲ	4
u̧$	*u̧/ũ	12
i̧$	*i̧/ĩ	9
t	t	11
u̧	*u̧/ũ	11
^đ	ð	6
a	*a/a	18
ƀ	β	5
a$	*a/a	16
č	tʃ	3
^ì̧	ĩ ¹	1
ì̧$	ĩ ¹	1
^i	*i/i	3
^i̧	*i̧/ĩ	1
^k	k	8
x	*x/ʃ	1
n	n	6
o$	*o/o	6
s	s	4
^kʷ	kʷ	5
a̧	*a̧/ã	3
^l	l	1
^ᵐb	ᵐb	1
đ	ð	2
^ⁿd	ⁿd	8
kʷ	kʷ	4
o	*o/o	4
u	*u/u	12
^n	n	2
^ⁿǰ	ⁿdʒ	2
^ⁿs	ⁿs	1
^ñ	ɲ	7
^r	*r/ɾ	1
^s	s	6
r	*r/ɾ	1
d	d	1
y	*y/ʒ	1
^š	ʃ	3
^t	t	6
^tʸ	tʲ	1
^u	*u/u	3
^u̧	*u̧/ũ	3
^ž	ʒ	10
