Grapheme	IPA	Frequency
^a	*a/a	2
a$	*a/a	19
đ	ð	11
i$	*i/i	14
^č	tʃ	5
i	*i/i	12
-	+	15
a	*a/a	19
k	k	8
n	n	17
ɨ̧	*ɨ̧/ɨ̃	7
ñ	ɲ	15
ɨ̧$	*ɨ̧/ɨ̃	7
xʷ	*xʷ/ʃʷ	1
ȩ	*ȩ/ẽ	2
i̧$	*i̧/ĩ	11
o	*o/o	7
t	t	11
o$	*o/o	9
^đ	ð	13
w	*w/β	12
ʔ	ʔ	36
ž	ʒ	9
i̧	*i̧/ĩ	12
a̧$	*a̧/ã	7
u̧	*u̧/ũ	16
ȩ$	*ȩ/ẽ	8
u	*u/u	19
u$	*u/u	18
x	*x/ʃ	3
u̧$	*u̧/ũ	16
m	m	8
^i	*i/i	7
kʷ	kʷ	2
e	*e/e	18
e$	*e/e	13
^i̧	*i̧/ĩ	3
ɨ	*ɨ/ɨ	10
à$	a ¹	1
^k	k	8
č	tʃ	5
ɨ$	*ɨ/ɨ	7
o̧	*o̧/õ	2
o̧$	*o̧/õ	3
^kʷ	kʷ	4
^l	l	2
ⁿd	ⁿd	4
^m	m	2
^n	n	11
a̧	*a̧/ã	10
^ⁿd	ⁿd	14
^ⁿǰ	ⁿdʒ	4
^ñ	ɲ	11
^o̧	*o̧/õ	1
^š	ʃ	1
l	l	3
^t	t	8
^u̧	*u̧/ũ	2
^u	*u/u	4
š	ʃ	1
xʸ	*xʸ/xʲ	1
^w	*w/β	7
^x	*x/ʃ	2
^xʷ	*xʷ/ʃʷ	2
^ž	ʒ	20
r̃	rː	1
