Grapheme	IPA	Frequency
^ƀ	β	3
i	*i/i	9
č	tʃ	5
i$	*i/i	15
ì	i ¹	7
s	s	8
š	ʃ	4
ì$	i ¹	7
^č	tʃ	4
ì̧	ĩ ¹	3
í̧$	ĩ ⁵	2
i̧	*i̧/ĩ	4
i̧$	*i̧/ĩ	3
n	n	3
-	+	2
kʷ	kʷ	1
a	*a/a	7
a$	*a/a	10
u̧	*u̧/ũ	3
u̧$	*u̧/ũ	3
^ȼ	ts	1
^ȼʸ	tsʲ	1
e	*e/e	1
e$	*e/e	1
^k	k	6
ā	a ³	3
ī$	*ī/i ³	1
u	*u/u	6
ⁿd	ⁿd	1
ʔ	ʔ	11
v	β	4
ú̧	ũ ⁵	1
m	m	4
ì̧$	ĩ ¹	4
u$	*u/u	2
^kʷ	kʷ	2
à	a ¹	2
k	k	6
à$	a ¹	2
^l	l	1
o	*o/o	7
o$	*o/o	4
^ⁿč	ⁿtʃ	1
^ⁿd	ⁿd	2
ū	u ³	1
ü	*ü/ʉ	8
^ⁿdʸ	ⁿdʲ	1
^n	n	2
ù̧	ũ ¹	3
ñ	ɲ	3
^ñ	ɲ	5
a̧	*a̧/ã	2
a̧$	*a̧/ã	2
^s	s	2
^š	ʃ	2
t	t	5
^ṣ	ʂ	1
ò	o ¹	1
ó$	o ⁵	1
^sʸ	sʲ	3
ü$	ʉ	6
ù̧$	ũ ¹	1
è	e ¹	1
è$	e ¹	1
^ṣʸ	ʂʲ	1
^t	t	2
ž	ʒ	2
^ž	ʒ	16
ƀ	β	4
ȼ	ts	1
sʸ	sʲ	1
^ʔ	ʔ	9
