Grapheme	IPA	Frequency
^s	s	12
e	*e/e	5
ʔ	ʔ	33
e$	*e/e	5
^y	*y/j	20
a̧	*a̧/ã	8
n	n	11
i̧$	*i̧/ĩ	24
^r	*r/ɾ	1
a	*a/a	29
i$	*i/i	22
^č	tʃ	10
i	*i/i	28
-	+	6
t	t	21
o	*o/o	6
o$	*o/o	8
u	*u/u	23
u$	*u/u	15
^n	n	4
i̧	*i̧/ĩ	10
ñ	ɲ	10
u̧	*u̧/ũ	13
u̧$	*u̧/ũ	20
^š	ʃ	3
k	k	14
^t	t	12
a$	*a/a	23
^kʷ	kʷ	8
^ⁿd	ⁿd	18
^l	l	2
kʷ	kʷ	1
č	tʃ	11
š	ʃ	3
ʔ$	ʔ	1
^ñ	ɲ	3
^w	*w/β	7
w	*w/β	16
y	*y/ʒ	5
^k	k	10
s	s	5
m	m	8
a̧$	*a̧/ã	12
^i	*i/i	4
^m	m	3
l	l	1
ⁿd	ⁿd	1
o̧	*o̧/õ	1
o̧$	*o̧/õ	1
^i̧	*i̧/ĩ	3
^u	*u/u	5
^u̧	*u̧/ũ	3
^a	*a/a	1
^h	*h/ʔ	1
^a̧	*a̧/ã	1
