Grapheme	IPA	Frequency
^đ	ð	11
a	*a/a	12
ʔ	ʔ	26
a$	*a/a	18
^ñ	ɲ	8
a̧	*a̧/ã	5
n	n	14
i̧$	*i̧/ĩ	10
^ȼ	ts	1
e	*e/e	6
e$	*e/e	6
^s	s	4
^n	n	4
i̧	*i̧/ĩ	8
ñ	ɲ	6
u̧	*u̧/ũ	14
u̧$	*u̧/ũ	19
o	*o/o	5
o$	*o/o	7
N	n̥	2
u	*u/u	13
k	k	7
^č	tʃ	2
i	*i/i	18
t	t	7
i$	*i/i	15
^š	ʃ	4
^kʷ	kʷ	5
^t	t	4
-	+	6
^ⁿd	ⁿd	11
kʷ	kʷ	2
^ⁿč	ⁿtʃ	1
s	s	5
^ƀ	β	5
^ž	ʒ	12
u$	*u/u	10
^b	*b/β	1
an	ã 	1
^k	k	7
ɨ	*ɨ/ɨ	4
đ	ð	5
^i	*i/i	3
l	l	1
ɨ$	*ɨ/ɨ	2
^ʔ	ʔ	1
a̧$	*a̧/ã	7
ƀ	β	6
č	tʃ	4
š	ʃ	3
x	*x/ʃ	1
u̧·	uː	1
y	*y/ʒ	1
ž	ʒ	1
^u	*u/u	4
^o̧	*o̧/õ	2
^u̧	*u̧/ũ	3
o̧	*o̧/õ	2
n$	n	1
u̧ⁿ$	ũ	1
o̧$	*o̧/õ	1
^i̧	*i̧/ĩ	1
^l	l	1
^y	*y/j	1
^tn	tⁿ	1
