Grapheme	IPA	Frequency
^a	*a/a	1
s	s	5
i$	*i/i	23
^a̧	*a̧/ã	1
w	*w/β	2
a̧$	*a̧/ã	12
^ƀ	β	7
a	*a/a	32
ʔ	ʔ	33
a$	*a/a	23
e	*e/e	5
e$	*e/e	5
i	*i/i	27
č	tʃ	10
i̧$	*i̧/ĩ	21
š	ʃ	3
t	t	23
i̧	*i̧/ĩ	10
ⁿd	ⁿd	1
^č	tʃ	10
-	+	8
u$	*u/u	15
u̧$	*u̧/ũ	18
a̧	*a̧/ã	8
o	*o/o	5
o$	*o/o	7
y	*y/ʒ	6
^h	*h/ʔ	1
u	*u/u	20
k	k	12
^i	*i/i	4
^i̧	*i̧/ĩ	3
ñ	ɲ	10
n	n	11
^k	k	11
ƀ	β	14
u̧	*u̧/ũ	13
m	m	7
^kʷ	kʷ	7
^l	l	2
kʷ	kʷ	2
^m	m	1
^ⁿd	ⁿd	17
ʔ$	ʔ	1
^n	n	4
^ñ	ɲ	3
^r	*r/ɾ	1
^s	s	10
^š	ʃ	3
^t	t	12
^u	*u/u	5
^u̧	*u̧/ũ	3
^y	*y/j	20
o̧	*o̧/õ	1
o̧$	*o̧/õ	1
