Grapheme	IPA	Frequency
^a	*a/a	1
đ	ð	14
i$	*i/i	24
^ƀ	β	1
i	*i/i	27
l	l	1
u$	*u/u	18
^č	tʃ	2
i̧	*i̧/ĩ	14
i̧$	*i̧/ĩ	15
ñ	ɲ	10
o̧$	*o̧/õ	6
^ȼ	ts	1
e$	*e/e	7
^ȼʸ	tsʲ	1
e	*e/e	7
^đ	ð	10
a	*a/a	27
a$	*a/a	25
w	*w/β	12
ʔ	ʔ	31
a̧$	*a̧/ã	10
o̧	*o̧/õ	6
n	n	12
o	*o/o	7
o$	*o/o	9
u	*u/u	18
k	k	8
s	s	4
u̧	*u̧/ũ	10
m	m	7
^f	f	1
r̃	rː	1
^i	*i/i	5
č	tʃ	8
t	t	10
^i̧	*i̧/ĩ	3
ỹ	j̃	3
u̧$	*u̧/ũ	12
^k	k	11
-	+	12
kʷ	kʷ	3
^kʷ	kʷ	8
a̧	*a̧/ã	7
y	*y/ʒ	6
^l	l	1
^m	m	2
ⁿz	ⁿz	1
^n	n	5
^ⁿd	ⁿd	12
ȼ	ts	3
ȩ	*ȩ/ẽ	2
^ⁿǰ	ⁿdʒ	4
š	ʃ	1
^ⁿz	ⁿz	1
^ñ	ɲ	7
^o̧	*o̧/õ	1
^š	ʃ	2
^s	s	3
^ṣ̌	ʂ	4
^t	t	8
ȩ$	*ȩ/ẽ	1
^tʸ	tʲ	1
^u̧	*u̧/ũ	2
^u	*u/u	6
š̯	ɕ	2
^w	*w/β	7
^y	*y/j	17
ṣ̌	ʂ	1
