Grapheme	IPA	Frequency
^a	*a/a	1
đ	ð	9
i̧$	*i̧/ĩ	12
^a̧	*a̧/ã	1
m	m	9
a̧	*a̧/ã	6
-	+	7
n	n	16
a̧$	*a̧/ã	13
^đ	ð	15
a	*a/a	32
a$	*a/a	24
v	β	6
w	*w/β	9
i$	*i/i	28
ʔ	ʔ	29
y	*y/ʒ	9
e	*e/e	19
e$	*e/e	9
i	*i/i	17
k	k	11
o$	*o/o	12
t	t	19
i̧	*i̧/ĩ	9
ñ	ɲ	9
o	*o/o	6
u	*u/u	21
s	s	9
u$	*u/u	16
u̧	*u̧/ũ	9
^i	*i/i	3
^i̧	*i̧/ĩ	3
o̧$	*o̧/õ	7
^k	k	11
č	tʃ	6
ȩ	*ȩ/ẽ	5
o̧	*o̧/õ	3
kʷ	kʷ	3
^kʷ	kʷ	7
^m	m	2
^ⁿd	ⁿd	18
^n	n	5
ȩ$	*ȩ/ẽ	4
ⁿd	ⁿd	3
u̧$	*u̧/ũ	7
^ñ	ɲ	9
^o̧	*o̧/õ	1
^s	s	11
^t	t	6
^tn	tⁿ	7
^u	*u/u	6
^u̧	*u̧/ũ	1
^w	*w/β	8
^y	*y/j	18
k$	k	1
