Grapheme	IPA	Frequency
^t	t	30
a	*a/a	38
t	t	30
á$	a ⁵	13
^h	*h/ʔ	5
ʔ	ʔ	21
y	*y/ʒ	15
a$	*a/a	29
^j	*j/h	8
à	a ¹	19
^k	k	35
ì	i ¹	41
v	β	18
^ñ	ɲ	14
an	ã 	3
ì$	i ¹	40
^x	*x/ʃ	5
i	*i/i	63
ò$	o ¹	27
^s	s	19
-	+	25
o	*o/o	23
ù	u ¹	4
^n	n	33
i̧	*i̧/ĩ	5
i̧$	*i̧/ĩ	9
ììn$	ĩ ¹ ĩ ¹	1
^l	l	7
s	s	18
^i	*i/i	10
x	*x/ʃ	5
ò	o ¹	21
'	ʔ	28
on$	*on/õ	3
^y	*y/j	26
u	*u/u	22
ù$	u ¹	6
o$	*o/o	22
^š	ʃ	3
i$	*i/i	32
k	k	28
d	d	25
à$	a ¹	29
^č	tʃ	3
^ch	tʃ	6
iín$	ĩ ³ ĩ ⁵	1
ü	*ü/ʉ	1
a̧	*a̧/ã	4
n	n	20
u̧$	*u̧/ũ	11
^kʷ	kʷ	5
e	*e/e	7
e$	*e/e	5
è	e ¹	3
è$	e ¹	2
ñ	ɲ	17
u$	*u/u	2
^ⁿd	ⁿd	13
kʷ	kʷ	4
kuà	kʷ a ¹	1
$	NULL	4
l	l	6
m	m	13
u̧	*u̧/ũ	5
^ƀ	β	3
^v	β	8
ch	tʃ	9
j	*j/h	6
ìn$	ĩ ¹	3
^ž	ʒ	10
ƀ	β	10
^b	*b/β	1
á	a ⁵	7
í	i ⁵	6
ìín$	ĩ ¹ ĩ ⁵	2
ž	ʒ	2
kua	*kua/kʷ a	3
kuá	kʷ a ⁵	1
í$	i ⁵	8
^m	m	3
č	tʃ	3
ó$	o ⁵	2
é	e ⁵	2
o̧	*o̧/õ	3
tyà	tʲ a ¹	1
^í	i ⁵	1
a̧$	*a̧/ã	5
án$	ã ⁵	2
nd	ⁿd	1
n$	n	3
^r	*r/ɾ	1
d$	d	1
kui	*kui/kʷ i	1
tʸ	tʲ	1
tya	*tya/tʲ a	1
ú	u ⁵	2
ú$	u ⁵	1
h	*h/ʔ	1
^ⁿdʸ	ⁿdʲ	1
^i̧	*i̧/ĩ	2
a̧ⁿ$	ã	1
ón$	õ ⁵	2
in$	ĩ	1
^ì	i ¹	5
^u̧	*u̧/ũ	1
^ò	o ¹	4
^o̧	*o̧/õ	2
o̧$	*o̧/õ	2
^u	*u/u	2
^ù	u ¹	2
ó	o ⁵	1
š	ʃ	1
^à	a ¹	1
é$	e ⁵	1
^a̧	*a̧/ã	1
