Grapheme	IPA	Frequency
^k	k	27
i	*i/i	30
t	t	20
ì$	i ¹	40
^t	t	25
ì	i ¹	41
k	k	22
ù$	u ¹	6
^y	*y/j	25
a	*a/a	21
'	ʔ	28
à$	a ¹	29
ch	tʃ	9
í$	i ⁵	8
^s	s	13
à	a ¹	19
^nd	ⁿd	25
u	*u/u	18
o$	*o/o	7
í	i ⁵	6
-	+	17
ñ	ɲ	11
o	*o/o	16
ò$	o ¹	27
^n	n	6
m	m	8
s	s	12
i$	*i/i	12
á	a ⁵	7
n	n	14
^l	l	6
^ì	i ¹	5
v	β	18
ò	o ¹	21
ón$	õ ⁵	2
ììn$	ĩ ¹ ĩ ¹	1
a$	*a/a	12
^ñ	ɲ	8
an	ã	2
^ch	tʃ	6
ó$	o ⁵	2
^m	m	3
n$	n	3
on$	*on/õ	3
^j	*j/h	8
y	*y/ʒ	13
^v	β	8
j	*j/h	6
^i	*i/i	8
kua	*kua/kʷ a	3
ú	u ⁵	2
ú$	u ⁵	1
è	e ¹	3
è$	e ¹	2
á$	a ⁵	13
x	*x/ʃ	4
^ò	o ¹	4
^x	*x/ʃ	5
án$	ã ⁵	2
iín$	ĩ ³ ĩ ⁵	1
^í	i ⁵	1
tyà	tʲ a ¹	1
$	NULL	4
e$	*e/e	3
ù	u ¹	4
e	*e/e	2
ìín$	ĩ ¹ ĩ ⁵	2
ìn$	ĩ ¹	3
in$	ĩ	1
nd	ⁿd	1
kuà	kʷ a ¹	1
tya	*tya/tʲ a	1
é	e ⁵	2
l	l	4
^ù	u ¹	2
é$	e ⁵	1
ó	o ⁵	1
kuá	kʷ a ⁵	1
u$	*u/u	1
^à	a ¹	1
kui	*kui/kʷ i	1
