Grapheme	IPA	Frequency
^k	k	8
i	*i/i	33
t	t	10
i$	*i/i	20
^ⁿd	ⁿd	13
u	*u/u	4
č	tʃ	3
^s	s	6
o$	*o/o	15
^ñ	ɲ	6
i̧	*i̧/ĩ	5
m	m	5
a̧$	*a̧/ã	5
a	*a/a	17
ʔ	ʔ	21
n	n	6
u̧$	*u̧/ũ	11
-	+	8
l	l	2
a$	*a/a	17
^n	n	2
i̧$	*i̧/ĩ	9
x	*x/ʃ	1
^h	*h/ʔ	5
y	*y/ʒ	2
^ƀ	β	3
s	s	6
u̧	*u̧/ũ	5
^ž	ʒ	10
^i	*i/i	2
ƀ	β	10
kʷ	kʷ	4
^kʷ	kʷ	5
e	*e/e	5
e$	*e/e	2
o	*o/o	7
^o̧	*o̧/õ	2
^t	t	5
o̧	*o̧/õ	3
a̧	*a̧/ã	4
^č	tʃ	3
o̧$	*o̧/õ	2
^i̧	*i̧/ĩ	2
ñ	ɲ	6
k	k	6
ü	*ü/ʉ	1
^ⁿdʸ	ⁿdʲ	1
ž	ʒ	2
^r	*r/ɾ	1
d$	d	1
^š	ʃ	3
h	*h/ʔ	1
^y	*y/j	1
tʸ	tʲ	1
^u	*u/u	2
^l	l	1
u$	*u/u	1
^b	*b/β	1
an	ã	1
š	ʃ	1
^u̧	*u̧/ũ	1
^a̧	*a̧/ã	1
a̧ⁿ$	ã	1
