Grapheme	IPA	Frequency
^s	s	6
e	*e/e	8
ʔ	ʔ	33
e$	*e/e	6
^ñ	ɲ	15
ā̧	ã ³	1
ñ	ɲ	7
ī̧	ĩ ³	3
ī̧$	*ī̧/ĩ ³	1
^č	tʃ	9
à	a ¹	4
á$	a ⁵	3
^ʔ	ʔ	17
s	s	7
-	+	10
t	t	10
o	*o/o	9
o$	*o/o	9
i	*i/i	23
i$	*i/i	18
i̧	*i̧/ĩ	7
i̧$	*i̧/ĩ	6
^n	n	2
u̧	*u̧/ũ	9
u̧$	*u̧/ũ	7
^y	*y/j	3
ī	i ³	8
ì$	i ¹	14
^š	ʃ	9
č	tʃ	7
u	*u/u	4
k	k	11
u$	*u/u	3
í̧	ĩ ⁵	3
í̧$	ĩ ⁵	3
a	*a/a	16
a$	*a/a	17
^kʷ	kʷ	8
^ⁿǰ	ⁿdʒ	2
í$	i ⁵	6
^ⁿd	ⁿd	10
kʷ	kʷ	3
^ⁿč	ⁿtʃ	5
š	ʃ	6
ú̧	ũ ⁵	3
ú̧$	ũ ⁵	2
^v	β	2
ì̧$	ĩ ¹	6
^ž	ʒ	12
ƀ	β	12
^k	k	12
í	i ⁵	4
tʸ	tʲ	2
^l	l	4
ò	o ¹	3
o̧	*o̧/õ	1
ⁿd	ⁿd	1
v	β	2
a̧	*a̧/ã	8
a̧$	*a̧/ã	7
m	m	7
ȼʸ	tsʲ	1
^tʸ	tʲ	1
^t	t	5
ò$	o ¹	2
ù̧	ũ ¹	3
n	n	12
ú	u ⁵	1
sʸ	sʲ	1
à$	a ¹	4
à̧	ã ¹	1
à̧$	ã ¹	2
ù̧$	ũ ¹	6
ū	u ³	2
ì̧	ĩ ¹	1
^ž̯	ʑ	1
ì	i ¹	7
ⁿč	ⁿtʃ	1
ū̧	ũ ³	4
ó̧$	õ ⁵	1
^sʸ	sʲ	1
ā̧$	ã ³	1
^m	m	1
ɨ̄	ɨ ³	1
ü	*ü/ʉ	1
ž	ʒ	3
ü$	ʉ	1
ɨ́	ɨ ⁵	1
ɨ̀$	ɨ ¹	1
ō	o ³	1
x	*x/ʃ	1
á	a ⁵	2
^ƀ	β	3
šʸ	ʃʲ	1
ū̧$	ũ ³	1
ī$	*ī/i ³	1
ù	u ¹	1
ṣ̌	ʂ	1
