Grapheme	IPA	Frequency
^đ	ð	10
a	*a/a	23
ʔ	ʔ	35
ž	ʒ	6
a$	*a/a	18
^ñ	ɲ	9
a̧	*a̧/ã	6
n	n	18
i̧$	*i̧/ĩ	11
^t	t	9
e	*e/e	12
e$	*e/e	11
^š	ʃ	6
i	*i/i	17
-	+	10
t	t	18
o	*o/o	7
o$	*o/o	9
u	*u/u	17
u$	*u/u	21
^n	n	6
ɨ̧	*ɨ̧/ɨ̃	8
ñ	ɲ	8
ɨ̧$	*ɨ̧/ɨ̃	5
u̧	*u̧/ũ	16
u̧$	*u̧/ũ	23
^ž	ʒ	17
i̧	*i̧/ĩ	8
k	k	10
^tn	tⁿ	5
^s	s	2
^kʷ	kʷ	8
ȩ	*ȩ/ẽ	2
^ⁿd	ⁿd	16
ɨ	*ɨ/ɨ	11
ɨ$	*ɨ/ɨ	7
kʷ	kʷ	1
^l	l	4
l	l	3
^č	tʃ	3
^w	*w/β	7
đ	ð	9
^k	k	10
w	*w/β	5
a̧$	*a̧/ã	8
m	m	8
ȩ$	*ȩ/ẽ	4
^i	*i/i	3
^m	m	2
č	tʃ	5
i$	*i/i	13
š	ʃ	4
s	s	2
ⁿd	ⁿd	2
^ⁿǰ	ⁿdʒ	1
^x	*x/ʃ	1
r̃	rː	1
^u	*u/u	5
^u̧	*u̧/ũ	3
^i̧	*i̧/ĩ	2
^a̧	*a̧/ã	1
