Grapheme	IPA	Frequency
^a̧	*a̧/ã	1
m	m	8
a̧$	*a̧/ã	14
^č	tʃ	4
i	*i/i	33
-	+	9
k	k	9
i̧	*i̧/ĩ	10
ñ	ɲ	9
u̧$	*u̧/ũ	8
č	tʃ	5
i$	*i/i	23
i̧$	*i̧/ĩ	20
o̧$	*o̧/õ	16
^gʷ	gʷ	1
e	*e/e	5
e$	*e/e	5
^ì̧	ĩ ¹	1
ì̧$	ĩ ¹	1
^i	*i/i	3
^i̧	*i̧/ĩ	4
t	t	17
a$	*a/a	19
n	n	19
ʔ	ʔ	32
^k	k	11
a	*a/a	26
s	s	7
w	*w/β	12
o̧	*o̧/õ	7
o	*o/o	6
o$	*o/o	8
u̧	*u̧/ũ	9
u	*u/u	12
^kʷ	kʷ	8
a̧	*a̧/ã	7
y	*y/ʒ	7
^l	l	2
kʷ	kʷ	3
ȩ	*ȩ/ẽ	1
^m	m	2
š	ʃ	10
^ⁿd	ⁿd	14
ŵ	w	1
ò	o ¹	1
ò$	o ¹	1
u$	*u/u	10
^n	n	3
^ñ	ɲ	7
^o	*o/o	1
^o̧	*o̧/õ	1
^s	s	9
^š	ʃ	14
^t	t	7
^tn	tⁿ	3
^tʸ	tʲ	1
^u̧	*u̧/ũ	2
^u	*u/u	6
^w	*w/β	6
ⁿd	ⁿd	1
^y	*y/j	14
