Grapheme	IPA	Frequency
^kʷ	kʷ	5
a	*a/a	12
ʔ	ʔ	16
n	n	6
i$	*i/i	18
^t	t	7
e	*e/e	6
e$	*e/e	7
^n	n	3
i̧	*i̧/ĩ	10
ñ	ɲ	8
i̧$	*i̧/ĩ	12
^s	s	7
o	*o/o	3
o$	*o/o	6
^š	ʃ	4
i	*i/i	16
t	t	7
u	*u/u	11
k	k	8
u$	*u/u	12
^č	tʃ	2
x	*x/ʃ	5
^ⁿd	ⁿd	11
y	*y/ʒ	4
kʷ	kʷ	1
a$	*a/a	10
^ñ	ɲ	9
u̧	*u̧/ũ	12
u̧$	*u̧/ũ	10
^ƀ	β	4
^y	*y/j	7
^b	*b/β	1
an	ã 	1
^k	k	9
p	p	1
^i	*i/i	2
s	s	3
^a	*a/a	1
r	*r/ɾ	1
d	d	1
l	l	2
m	m	5
a̧$	*a̧/ã	6
ƀ	β	8
č	tʃ	2
š	ʃ	2
^x	*x/ʃ	1
a̧	*a̧/ã	3
^u	*u/u	3
^u̧	*u̧/ũ	3
^i̧	*i̧/ĩ	1
ṣ̌	ʂ	1
o̧	*o̧/õ	1
o̧$	*o̧/õ	1
^l	l	1
-	+	2
^đ	ð	1
