Grapheme	IPA	Frequency
^ƀ	β	8
a	*a/a	20
ʔ	ʔ	33
a$	*a/a	19
e	*e/e	17
i$	*i/i	11
i	*i/i	12
l	l	2
u$	*u/u	17
š	ʃ	3
t	t	17
n	n	20
a̧$	*a̧/ã	13
x	*x/ʃ	7
i̧$	*i̧/ĩ	14
i̧	*i̧/ĩ	5
ⁿd	ⁿd	3
e$	*e/e	11
^č	tʃ	1
^i	*i/i	8
-	+	10
o	*o/o	5
o$	*o/o	8
k	k	11
^i̧	*i̧/ĩ	2
ñ	ɲ	11
u̧$	*u̧/ũ	25
s	s	6
^k	k	12
č	tʃ	4
ɨ	*ɨ/ɨ	12
ɨ$	*ɨ/ɨ	10
w	*w/β	3
u	*u/u	25
u̧	*u̧/ũ	20
^kʷ	kʷ	9
a̧	*a̧/ã	7
ȩ	*ȩ/ẽ	1
y	*y/ʒ	9
^l	l	3
m	m	8
kʷ	kʷ	3
^n	n	7
^ⁿd	ⁿd	17
ƀ	β	6
ɨ̧	*ɨ̧/ɨ̃	5
ɨ̧$	*ɨ̧/ɨ̃	5
ỹ	j̃	1
^ñ	ɲ	7
^ř	r	1
^s	s	12
^š	ʃ	1
^t	t	9
^tn	tⁿ	5
^u	*u/u	5
^u̧	*u̧/ũ	3
xʸ	*xʸ/xʲ	1
^x	*x/ʃ	3
^xʸ	*xʸ/xʲ	1
^y	*y/j	16
ʔ$	ʔ	1
^ỹ	j̃	3
ȩ$	*ȩ/ẽ	1
^ž	ʒ	2
